 summons, call	citatio
potion	venenum
poultice	fomentum
poultice / alleviation	fomentum
pound	contundo
pound	talentum
pounds weight	pondus
pour	fluo
pour	fundo
pour forth	diffundo
pour forth	effundo
pour forth	fundo
pour forth	ingero
pour forth	profui
pour forth	profundo
pour forth	profusum
pour in	infudi
pour in	infundo
pour in	infusum
pour out	effluo
pour out	effundo
pour out	fundo
pour over	infudi
pour over	infundo
pour over	infusum
pour together	confundo
pour upon	supermitto
pouring form	effusio
poverty	ieiunitas
poverty	indigentia
poverty	inopia
poverty	macies
poverty	paupertas
poverty-stricken	pauper
poverty-stricken	penuriosus
powder	pulvis
power	auctorita
power	facultas
power	ops
power	opulentia
power	potentia
power	potestas
power	praesentia
power	virtus
power	vis vires
power	vocis
power	vox
power of comprehension	captus
power to aid	ops
power to command	imperium
power to command, authority, command, rule	imperium
power to help	ops
power, ability, authority /opportunity	potestas
power, means, opportunity, capacity, ability	facultas
powerful	fortis
powerful	imperiosus
powerful	lacertosus
powerful	opulens
powerful	polleo
powerful	potens
powerful	valens
powerful	validus
powerfully	efficenter
powerfully	valde
powerless	inops
practical judgment	prudentia
practice	exerceo
practice	inhibeo
practice	meditatio
practice	meditatus
practice	meditor
practice diligently	exercito
practice in oratory	declamatio
practice, preparation	meditatio
praise	boare
praise	boo
praise	lauda
praise	laudare
praise	laudatio
praise	laudatum
praise	laudavi
praise	laudo
praise	laus
praise exaggerate	extollo
praise very much	collaudo
praise, commendation	laudatio
praise, glory, fame	laus
praised	laudatus
praiser	laudator
praisers	laudatores
praiseworthy	laudabilis
praiseworthy, laudable	laudabilis
prate	garrio
prating	garrulitas
pray	orare
pray	precari
pray	precor
pray	rogare
pray for	votum
pray for	voveo
pray for	vovi
prayer	deprecatio
prayer	imploratio
prayer	oratio
prayer	precatio
prayer	precatus
prayer	preces
prayer	precis
prayer	prex
prayer	votum
prayer, wish, desire /vow, promise to God	votum
prayerful	supplex
praying	precatio
praying	preces
pre-eminence	principatus
preach	docere
preach	orationem habere
preach	praedicare
preacher	praedicator
preaches	docet
preaches	orationem habet
preaches	praedica
preaching	praedicatio
preaching (s), foretelling (s), condemning	praedicatio
preamble	exordium
preambles	exordia
precaution	cautela
precede	antecedo
precede	praecedo
precede	praeeo
precede	precedo
precede	preeo
precept	praecepio
precept	praeceptum
precept	precepio
precept	preceptum
precept, preconception	praecepio
precipately	inconsultus
precipice	praeceps
precipitate	praeproperus
precipitate	preproperus
precise	subtilis
precision	subtilitas
preconception	praecepio
preconception	precepio
predecessor	antecessor
predestine	praedestino
prediction	carmen
prediction	divinatio
prediction, divination	divinatio
predominate	regno
preeminent person	princeps
prefer	antepono
prefer	mallui
prefer	malo
prefer	malus
prefer	praefero
prefer	praepono
prefer	prefero
prefer	prepono
prefer	sis
preferable	praesto
preferably	pocius
preferably	potius
preferring	malens
prefix meaning half	sem
pregnant	gravida
pregnant	ingravesco
prelates	proceres
preliminary exercise	prolusio
preliminary exercise, prelude	prolusio
prelude	prolusio
premature	praecox
premature	precox
prepaid	promutuus
prepaid, arragned beforehand	promutuus
preparation	meditatio
preparation	paratus
preparation, fitting out, equipment	paratus
prepare	instruo
prepare	paro
prepare	praeparo
prepare	preparo
prepare, provide /draw up an order of battle	instruo
prepared	aptus
prepared	paratus
prepared	promptus
prepared for battle	procinctu
prepared or ready for battle	procinctu
prepared skin	membrana
prepared, ready, equipped; (of persons) skilled	paratus
prepared, resolute, prompt	promptus
prescribe	determino
presence	praesentia
presence of mind	praesentia
presence, presence of mind, effect, power	praesentia presentia
present	carisma
present	charisma
present	donum
present	munerior
present	munero
present	munus
present	offero
present	ostendo
present	praesto
present	presto
present	superstes
present	tendo
present oneself	praebeo
present oneself	prebeo
present with something	munifico
presentiment	praesagium
presently	iam
presently	mox
presently	post modum
presents	dictata
preserve	conservo
preserve	reservo
preserve	servo
preside	praesedere
preside	praesedi
preside	praesieo
preside over	praecello
preside over have charge of	praesum
presider	praesul
presider	presul
press against	opprimo
press down	deprimo
press down	praemo
press down	premo
press down	pressi
press down	pressum
press heavily upon	praegravo
press heavily upon	pregravo
press in	inculco
press together	arto
prestige	dignitas
presume	conor
presuming	arrogans
presumption	arrogantia
presumptuous	impudens
presumptuously	impudenter
pretend	simulo
pretense	simulatio
pretext	causa
prettily	belle
pretty	bellus
pretty	pulchellus
prevail	evalesco
prevail	increbresco
prevail	praevaleo
prevail upon	exoro
prevail upon a person	exoro
prevarication	tortitudo
prevent	impedio
prevent	impedo
prevent	praevenio
prevent	preoccupo
prevent	prohibeo
prevented	impeditus
previous	praevius
previous, former	praevius
previously	ante
previously	antea
prey	praeda
prey	preda
price	pretium
price of grain	annona
price, vaue, reward	pretium
prick	fodio
prick	punctum
prick	pungo
prick	pupugi
prick	repungo
pride	fastosus
pride	superbia
pride oneself	glorior
pride, arrogance	superbia
pride, haughtiness	fastosus
prince	princeps
prince	procer
princely	basilicus
principal	potissimus
principally	maxime
principle	decretum
principle	formula
prior	praepositus
prior	praepositus prepositus
prior	prepositus
prior	prior
prior	prius
prison	carcer
prison	claustrum
prison, cell, jail, dungeon	carcer
prisoner	captus
prithee	sodes
private	privatus
private	secretum
private, unofficial, a private person	privatus
privilege	beneficium
privy counsellor	secretarius
privy to	conscius
prize	diligo
prize	palma
prize	praemium
prize	premium
prize-money	viaticus
probably	forsan
probably	forsit
probably	forsitan
probity	probitas
probity, uprightness, honesty	probitas
procedure	ratio
proceed	cedo
proceed	eo
proceed	grassor
proceed	ire
proceed	itum
proceed	pergo
proceed	procedo
proceed	progredior
proceed on the winds	ingredior vi ventorum
procession	processus
proclaim	clamo
proclaim	declaro
proclaim	diffamo
proclaim	indico
proclaim	nuncupo
proclaim	praeconor
proclaim	preconor
proclaim	pronuntio
procrastinator	cunctator
procure	impetro
procure	mutuo
procure	quaero
procure	redimo
procure the favor	concilio
procurer	leno
procurer, go-between	leno
prodigiality	prodigentia
prodigious	ingens
prodigy	prodigium
prodigy, portent / monster, unnatural thing	prodigium
produce	depromo
produce	efficio
produce	evoco
produce	exhibeo
produce	exibeo
produce	fructus
produce	genero
produce	pario
produce	producto
produce	productum
produce	produxi
produce	progenero
produce	promo
produce	prompsi
produce	promptum
produce	semino
produce in abundance	ebullio
produce, bring forward, bring out	producto produxi productum
producer	effector
producer	effectrix
producer, someone who causes something	effector
producing	exhibitio
productive	facundia
productive	fertilis
productive	uber
productive, fertile, abundant, rich	uber
profane	profano
profane	temero
profane, desecrate	profano
profess	profiteor
profession	professio
professor	magister
proffer	liceor
proffer	profero
profit	commodum
profit	fructus
profit	lucror
profit	lucrum
profit	praemium
profit	premium
profit	quaestus
profit	questus
profit	usus
profit	ususfructus
profit from	utor
profit, a source of profit, gainiing, getting	quaestus  questus
profitable	facundia
profitable	lucrosus
profitable	pecuniosus
profitable	quaestuosus
profitable	questuosus
profitable, fond of gain, rich	quaestuosus  questuosus
profitable, gainful	lucrosus
profiting	usura
profitless	inefficax
profligate	dissolutus
profound	profundus
profuse	prodigus
profusely	abunde
profusely	profusius
profusion	prodigentia
profusion, prodigiality	prodigentia
progeny	foetus
progeny	progenies
progeny	proles
progeny	suboles
progress	eo
progress	ire
progress	itum
progress	processus
progress	progressio
progress	tractus
prohibit	interdico
prohibit	prohibeo
prohibited	inconcessus
prohibition	prohibitio
prohibition, restrain, forbidding	prohibitio
project	emineo
project	exertus
project	exsertus
project	exsto
project, thrust forward	exsertus exertus
prolong	extraho
prolong, protract/ bring forward	extraho
prolonged	longinquus
promise	annuo
promise	fides
promise	polliceor
promise	pollicitatio
promise	profiteor
promise	promissum
promise	promitto
promise	propono
promise	spondeo
promise again	repromitto
promise in return	repromitto
promise to God	votum
promise to God	voveo
promise to God	vovi
promise, assurance, word of honor, engagement	fides
promised	pollicitus
promised, a promise	pollicitus
promontory	promontorium
promote	antepono
promote	incumbo
promote	producto
promote	productum
promote	produxi
promote	proveho
promote, divulge, bring to light	producto produxi productum
promoter	fautor
prompt	promptus
prompt	suggero
promptly	expedite
promptly	prompte
promptly, resolutely, readily	prompte
promulgation	promulgatio
pronounce	denuntio
pronounce	dico
proof	argumentum
proof	testimonium
proof, evidence	argumentum
proof, evidence, witness, indication	testimonium
prop	firmamentum
prop up	suffulcio
propagate	propago
proper	apto
proper	commodus
proper	decet
proper	decorus
proper	honestus
proper	idoneus
proper	iustus
proper	legitiums
proper	rectus
proper	verus
proper, fit, commodius	commodus
proper, worthy, fitting, deserving, capable	idoneus
properly	decens
properly	decenter
properly	honeste
properly	ordine
properly	ordinem
properly	proprie
properly, fittingly, suitably	decens; decenter
property	census
property	hereditas
property	possessio
property	qualitas
property	substantia
prophecy	oraculum
prophesy	praesagio
prophet	vates
prophetic	praesagus
propitiate	lito
propitious	prosper
propitious	prospicio
proportioned	congruens
proposal	propositio
propose	propono
proposition	propositio
proposition	thesis
proposition, thesis	thesis
propped up	subnisus
propped up	subnixus
propped up, supported	subnixus  subnisus
propriety	decentia
propriety, decency of behavior	decentia
propserity, good fortune	prosperitas
proscenium	proscaenium
prosecute	exercitatio
prosecute	postulo
prosecute	subcribo
prosecute to the end	perago
prosecutor	condemnator
prosecutors	condemnatores
prospect	prospectus
prosper	procedo
prosper	prospicio
prospering	prosperans
prosperity	prosperitas
prosperous	prosper
prosperous	prosperus
prosperously	prospere
prostitute	meretricis
prostitute	meretrix
prostitute	prostituo
prostitute, whore, harlot	meretrix meretricis
prostrate	afflictus
prostrate	prosterno
prostrated	prostratus
protect	contego
protect	defendo
protect	munio
protect	patrocinor
protect	protego
protect	servo
protect	tectum
protect	tego
protect	texi
protect	tueor
protect	vindico
protected	tutis
protected, safe, secure	tutis
protection	ara
protection	custodia
protection	fides
protection	munimentum
protection	praesidium
protection	tutamen
protection	tutaminis
protection	tutela
protection, custody	custodia
protection, guard, charge /guardianship	tutela
protector	altor
protector	patronus
protector	praesul
protector	presul
protonotary	prothonotario
prototype	exemplar
protract	extraho
protract	protraho
proud	celsus
proud	erectus
proud	superbus
proud of oneself	elatus
proudly	audaciter
proudly	audacter
proudly elevated	arduus
prove	arguo
prove	comprobo
prove	declaro
prove	demonstro
prove	efficio
prove	experior
prove	probo
prove guilty	redarguo
proven	argumentosus
proven	expertus
provender	alimentum
provide	exorno
provide	instruo
provide	ministro
provide	praebeo
provide	prebeo
provide	provideo
provide	suborno
provide	substerno
provide	suggero
provide arms	armo
provide for	caveo
provide for	respicio
provide money	curo
provided	dummodo
provided with grain	farratus
providence	providentia
provisions	alimonium
provisions	penus
provisions	us
provisions	victualia
provisions, supplies, victuals	penus; us
provocative	incentivus
provost	prepositus
provost	vigerius
prow	prora
prowess	virtus
prudence	providentia
prudent	memor
prudent	provida
prudent	prudens
prudent, wise	prudens
Prums	Pruma
prune	deputo
pruner	putator
pruning hook	falcis
pruning hook	flax
psalmodize	psallo
public	forensis
public	publicus
public business	res publica
public contest	agon
public contest	agonia
public office	honor
public road tax	onus
publication	promulgatio
publication, promulgation (of a law)	promulgatio
publicize	pando
publicized	propalata
publicly	palam
publish	evulgo
publish	prodo
publish	promulgo
publish	propono
publish	vulgo
publish, bring forth, appoint /abandon, betray	prodo
publishing	divulgatio
publishing of a book	editio
pucker	aggero
puff up	intumesco
puff-up	elatus
puff-up, proud of oneself, arrogant	elatus
puffed up	elatus
puffed up	inflatus
puffed-out cheeks	follis
pugnacious	bellatorius
pugnacity	pugnacitas
pull	tractum
pull	traho
pull	traxi
pull	velli
pull	vello
pull	vulsum
pull apart	distractum
pull apart	distraho
pull apart	distraxi
pull back	retractum
pull back	retraho
pull back	retraxi
pull in pieces	distractum
pull in pieces	distraho
pull in pieces	distraxi
pull out	eruo
pulling	tractus
punctuate	distinguo
puncture	punctum
puncture	pungo
puncture	pupugi
punish	castigo
punish	exsequor
punish	macto
punish	muto
punish	plecto
punish	punio
punish	vindico
punish, fine, mulct	muto
punisher	punitor
punisher, avenger	punitor
punishment	castigatio
punishment	infortunium
punishment	livor
punishment	piaculum
punishment	poena
punishment	supplicium
punishment	ultio
punishment	ultionis
puny	migrus
puny	pusillus
pupil	discipulus
pupil of the eye	pupula
purchase	emi
purchase	emo
purchase	emptum
purchase	penso
purchase	reparo
pure	castitas
pure	incontaminatus
pure	incorruptus
pure	purus
pure	putus
pure, free from, spotless, without stain	purus
pure, unadulterated, unpolluted	incontaminatus
pure, unmixed, unadulterated	putus
purely	caste
purely, spotlessly, purely, uprightly, chastely	caste
purge	defaeco
purge	expurgo
purify	dealbo
purify	defaeco
purify	expio
purify	purgo
purify with sacred rites	pio
purity	castimonia
purity	sanctimonia
purity, charity, virtue, sanctity, sacredness	sanctimonia
purple	blatta
purple	puniceus
purple cloth	purpura
purple dye	purpura
purple dye, purple cloth /high rank, emperorship	purpura
purple, red	puniceus
purple-colored	purpureus
purpose	consilium
purpose	finis
purpose	intentio
purpose	propositum
purpose	sententia
purpose	voluntas
purse	crumens
purse	follis
purse	pera
purse	sacculus
purse, little bag, little sack	sacculus
pursue	fugo
pursue	insequor
pursue	pergo
pursue	persecutus
pursue	persequi
pursue	persequor
pursue	prosequor
pursue eagerly	insto
pursue eagerly	studio
pursuer	sectator
pursuer	sector
pursuer	secuutus
pursuing	sequax
pursuing the matter many times	multis prosecutionibus
pursuit	consectatio
pursuit	negotium
push	pulsus
push around	peragito
push aside	depulso
push aside, thrust away	depulso
push forward	promotum
push forward	promoveo
push forward	promovi
push forward, move ahead, advance	promoveo promovi promotum
put	colloco
put	loco
put	paro
put	pono
put	positum
put	posui
put a halter on a horse	capistro
put a mark upon	insignio
put after	posthabeo
put after	postpono
put away	abdo
put away	exuo
put away, remove, hide, conceal	abdo
put back	restituo
put before	antepono
put before	praeduco
put before, prefer, favor, promote	antepono
put down	depono
put down	refero
put down	subigo
put forth	edo
put forth	infero
put forth	promitto
put forth, give out	edo
put in another's place	surrogo
put in charge of	praeficio
put in charge of	prefeci
put in charge of	prefectum
put in charge of	preficio
put in motion	agito
put in order	derigo
put in order	dispono
put in peril	periclitatus
put in peril	periclitor
put in peril, endangered	periclitatus
put in place	instituo
put in place of	subpono
put in place of	suppono
put in place of	sustituo
put in place, begin	instituo-ui-utum
put into	penetro
put into quick motion	cito
put next	sustituo
put next to	subpono
put next to	suppono
put off	prodico
put off	prolato
put on	infero
put on	inicio
put on	inieci
put on	iniectum
put on clothing	induco
put on the table	appono
put out	exstinctum
put out	exstingui
put out	exstinguo
put to	appono
put to death	neco
put to flight	fugo
put to flight	fundo
put to shame	infamo
put to the test	experior
put together	compono
put together	confero
put together	conicio
put under	subpono
put under	suppono
put under	sustituo
putrefy	putesco
putrid	puter
quadrangular	quadriangulus
quadruped	quadrupes
quadruple	quadruplex
quaestor	quaestor
quaff	bibo
quagmire	palus
quail	coturnix
quails	coturnices
quaint	mirus
quake	contremisco
quake	tremere
quaking	pavor
quaking	tremulus
quaking as in feeling fear	pavidus
qualified	aptus
quality	qualitas
quality	species
quality, property, nature	qualitas
quantity	vis
quarrel	iurgium
quarrel	iurgo
quarrel	litigo
quarrel	rixa
quarrel	rixatio
quarrel	scandalum
quarrel	seditio
quarrel, altercation, brawl	iurgium
quarrelsome servant	servus scandali
quarter	vicus
quarters	castra aestiva
quarters	castra hiberna
quay	crepido
queen	regina
quick	alacer
quick	celer
quick	citatus
quick	ocius
quick	velox
quick, rapid, swift, fast	velox
quick, speedy	citatus
quick, swift, rapid, speedy, fast	celer
quick. fleet, sooner, faster	ocius
quicken	accelero
quicken	vivifico
quickened	cito
quickly	celeriter
quickly	citius
quickly	cito
quickly	concite
quickly	cursim
quickly	velociter
quickly, rapidly, speedily	cito
quickly, rapidly, swiftly	velociter
quickness	alacritas
quickness	celeritas
quickness of speech	facunditas
quiet	placidus
quiet	quies
quiet	quietus
quiet	silentium
quiet place	recessus
quiet, rest	quies quietis
quiet, still, gentle	placidus
quietly	placide
quietly	quiete
quietly, calmly	quiete
quit	defungo
quite	per
quite equally	peraeque
quitely, gently	placide
quiver	inhorresco
quiver	mico
quiver	pharetra
quivering	crispus
quivering	tremulus
quote	laudo
rabbit	lepus
rabble	sentina
rabble	vulgus
race	curriculum
race	gens
race	natio
race	nationis
race course	cursus
race track	cursus
rack	torqueo
rag	pannus
rag, patch, piece of cloth	pannus
rage	ferveo
rage	furo
rage	furor
rage	grassor
rage	insanio
rage	saevio
raging	furibundus
raging	rabidus
raging, crazy	rabidus
raid	incursio
raid into	incurro
rain	pluo
rain	pluvia
rain shower	imber
rain shower	ymber
rain shower, rain storm, pelting rain	imber
rain shower, rain storm, pelting rain	ymber
rain storm	imber
rain storm	ymber
rain, shower	pluvia
rainwater from the eaves	stillicidium
raise	attollo
raise	erigo
raise	everto
raise	levo
raise	libero
raise	summitto
raise	suscipio
raise	tollo sustuli sublatum
raise a tumult	tumultuor
raise high	exalto
raise up	erigo
raise up	excito
raise up	extollo
raise up	subrectum
raise up	subrexi
raise up	subrigo
raise up	suscipio
raised	sublimis
raised hastily	tumultuarius
raised place	suggestus
ramble over	pererro
rampart	munitio
rampart	propugnaculum
rampart	vallum
ramparts	moenia
rank	dignitas
rank	ordo
rank, class, order	ordo
ransom	redimo
ransom	rependo
ransoming	redemptio
ransoming, redemption, buying back	redemptio
rant	latro
rapid	alacer
rapid	celer
rapid	celox
rapid	levis
rapid	velox
rapid	volatilis
rapid	volubilis
rapid motion	impetus
rapid, fluent, voluble	volubilis
rapid, swift /unimpotant /fickle	levis
rapidity	alacritas
rapidity	celeritas
rapidly	celeriter
rapidly	citius
rapidly	cito
rapidly	confestim
rapidly	cursim
rapidly	velociter
rapidly, quickly, swiftly, speedily	celeriter
rapine	rapina
rare	rarus
rare, uncommon /far apart /thin, scanty	rarus
rarely	rare
rascal	furcifer
rash	audax
rash	inconsultus
rash	temerarius
rash	temerarus
rash, imprudent, heedless	temerarus
rashness	temeritas
rashness, temerity	temeritas
rather	magis
rather	pocius
rather	potius
rather	quin
rather	quinimmo
rather	quinymo
rather more	plusculus
rather slow	lentulus
rather slow, a little slow	lentulus
rather unpleasant	subodiosus
rather, preferably	potius
rather, preferrably	pocius potius
ratification	sanctio
ratify	sanctio
rationally	sane
rationally, sensibly, really, indeed, to be sure	sane
rationally, soberly /really, indeed	sane
rattle	crepitaculum
rattle	crepito
rattle	crepundia
ravage	depopulo
ravage	depopulor
ravage	depraedor
ravage	depredor
ravage	devasto
ravaged	vastata
ravaging	vastatio
rave furiously	desaevio
ravish	constupro
ravish	rapio
ravish	stupro
ravisher	constupator
ravisher	raptor
ravisher, debaucher	constupator
ravishment	rapina
raw	crudus
raw	rudis
rays of light	coma
rays of sun	crinis
raze	eruo
re-establish	reformo
re-read	relectum
re-read	relegi
re-read	relego
reach	adipiscor
reach	advenio
reach	contineo
reach	devenio
reach	pervenio
reach the age of puberty	pubesco
reach the prime of life	iuvenesco
read	legere
read	lego
read	recitare
read again	relectum
read again	relegi
read again	relego
read aloud	recito
readable	iucundus legenti
reader	lector
reader	legens
readily	facile
readily	prompte
readily	propense
readiness	animus promptus
readiness of speech	eloquentia
readiness of speech	facunditas
reading	lectio
reading	recitatio
reading of a book	evolutio
reads	legit
reads	recita
ready	alacer
ready	expedio
ready	infensus
ready	paratus
ready	praeparo
ready	preparo
ready	proclivus
ready	promptus
ready	solers
ready at hand	promptus
ready at hand, visible, apparent	promptus
ready for battle	procinctu
ready of speech	facundus
real	sincerus
real	vere
real	verus
realism	veritatem imitari
realistic	veritatem imitari
realize	animadverto
really	profecto
really	sane
really	vere
really?	etiam
realm	imperium
realm	regnum
reap	tondeo
reap	tonsum
reap	totonsi
reaper	messor
reaper, harvester	messor
rear	educo
rear	nutrio
rear	summitto
rear	tergum
reason	causa
reason	ratio
reasonable	oportet
reasonably	rationabiliter
rebel	insurgi
rebel	insurgo
rebel	insurrectum
rebel	rebello
rebellious	rebellis
rebels	rebellis
rebuilt	recidivus
rebuilt	redivivus
rebuke	increpo
rebuke	insequor
recall	memoria
recall	recognosco
recall	recolo
recall	recordatio
recall	refero
recall	reminiscor
recall	repeto
recall to the colors	evoco
recast	recoquo
recede	recepi
recede	receptum
recede	recipio
receive	accipio
receive	admitto
receive	ascisco
receive	concipio
receive	excipo
receive	recipero
receive	suscipere
receive	suscipio
receive, accept	accipio
recent	repens
recently	nuper
reciprocal	mutuus
reciprocal service	vicis concor
reciprocally	invicem
reciprocity	mutuus
recital	relatus
recite	recito
recite	reddo
recite	refer
reckless	improvidus
reckless	incauta
reckless	inconsideratus
reckon	aestimo
reckon	duco
reckon	reputo
reckoning	compotus
reckoning	computus
reckoning	ratio
reckoning, account /reason, judgment	ratio
recline	cubo
recline	recubo
recline at table	accubo
recognition	agnitio
recognition, knowledge	agnitio
recognize	agnosco
recognize	recognosco
recognize as different	dignosco
recollect	commoneo
recollect	recognosco
recollect	recordo
recollect	recordor
recollect	repeto
recollection	memoria
recollection	recordatio
recollection, memory, recall	recordatio
recommence	repeto
recommend	suadeo
recompense	mercedis
recompense	merces
reconcile	concilio
reconcile	pacifico
reconcile	reconcilio
reconsider	retracto
reconstructed	redivivus
recount	recenseo
recount	refer
recoup	recupero
recover	executio
recover	recupero
recover	respiro
recover	resumo
recover	revoco
recover one's senses	resipisco
recovery	recuperatio
recovery, recuperation	recuperatio
recreate	recro
recuperation	recuperatio
recycled	redivivus
red	puniceus
red	rufus
red	rutilus
red, golden, auburn	rutilus
red, ruddy	rufus
reddish	puniceus
redeem	redimo
redeemer	redemptor
redeemer (Christ)	redemptor
redemption	redemptio
redeness, blush, modesty, shame, disgrace	rubor
redness	rubor
redolent	fragro
redouble	ingemino
reduce	affligo
reduce	arto
reduce	macero
reduce	redigo
reduce	stringo
reduce to a condition	redactum
reduce to a condition	redigo
reduce to ashes	favillesco
reduced condition	afflictio
redundancy	redundantia
reed	paludis
reed	palus
reek	fumo
reek	nidor
reeve	prepositus
reeve, steward, provost, prior, abbot	prepositus
refectory	refectorium
refectory, monastic mess hall	refectorium
refer	defero
refer	refero
refer	relatum
refer	retuli
refer	revoco
refer	verto in prosperum
refine	excolo
refined	humanus
refined	lautus
refinement	humanitas
reflect	consulo
reflect	pondero
reflect upon	meditatus
reflect upon	meditor
reflect upon	recolo
reflect upon	replico
reflect upon	reputo
reflect upon	revolvo
reflect upon, consider, recall	recolo
refortify	remunio
refrain from	parco
refrain from	tempero
refrain from injuring	parco
refresh	novo
refresh	refoveo
refreshed	novus
refreshment	levamen
refuge	ara
refuge	castellum
refuge	refugium
refuse	abnego
refuse	denego
refuse	invideo
refuse	nolle
refuse	nolo
refuse	nolui
refuse	quisquiliae
refuse	quisquiliarum
refuse	recuso
refuse	renuo
refuse	respuo
refuse a request	nego
refuse to return something	infitior
refusing	infirmatio
refute	redarguo
refute	reprehendo
regain	recipero
regain	recupero
regal	basilicus
regal	regalis
regal	regius
regally	basilice
regard	contemplor
regard	habeo
regard	habitum
regard	habui
regard	respectus
regard	specto
regard carefully	considero
regard from above	despicio
regard to	quantum
regard to, as much as, the more, the greater	quantum
regather	recolligo
region	clima
region	humus
region	ora
region	pars
region	plaga
region	regio
region	situs
region	tellus
region, clime, district	ora
register	describo
register	subcriptio
regret	desiderium
regular	normalis
regular	ordinarius
regularly	ordinatim
regularly	ordine
regularly	ordinem
regularly, appropriately, properly	ordine; ordinem
regularly, ordinarily	ordinatim
regulate	coerceo
regulate	ordino
regulate	tempero
regulation	ordinatio
rehabilitate	recolo
reign	regno
rein	corrigia
rein in	refreno
reins	frenum
reins	habenae
reins, bridle, bit /restraint	frenum
reinstate	restituo
reiterate	dictito
reject	abdico
reject	denego
reject	recuso
reject	renuo
reject	reprobo
reject	repuo
reject	respuo
reject, disaprove, condemn	reprobo
rejection	infitialis
rejoice	congratulor
rejoice	gaudeo
rejoice	gratulor
rejoice	laetifico
rejoice	laetor
rejoice	letor
rejoice exceedingly	exsulto
rejoicing	gauisus
rejoicing	laetans
rejoicing	laetatio
rejoicing	letatio
rejoicing	tripudium
rejoicing, joy	laetatio  letatio
rejoicing, joyous	laetans
rejoicing, joyous, glad, happy	gauisus
rekindling	suscitatio
rekindling, awakening	suscitatio
relate	commemoro
relate	exaequo
relate	exequo
relate	exsequor
relate	fero tuli latum
relate	nuntio
relate	propono
relate in order	digero
relate to	pertineo
relate to	peto
related by blood  (noun) a relative	cognatus
related by blood a relative	cognatus
related by marriage	affinis
related to	finitimus
related to	finitumus
relating	consequentia
relating to a fortress	castellanus
relating to a master	erilis
relating to a master or mistress	erilis
relating to a mistress	erilis
relating to a store-room	cellarius
relating to an oven	fornacalis
relating to cavalry	equester
relating to farming	agrarius
relating to horses	equinus
relating to legal business	forensis
relating to the countryside	agrarius
relating to the forum	forensis
relating to the forum / relating to legal business	forensis
relating to the land	agrarius
relating to the wing of an army	alarius
relations	consanguinei
relationship	affinitas
relatives	parentes
relax	laxo
relax	relaxo
relaxed	laxus
relay a message	dico mandatum legationis
release	eximo
release	expedio
release	laxo
release	liberatio
release	libero
release	solvo
release, liberation, aquittal, setting free	liberatio
released	privatus
reliable	firmus
reliance	fides
reliance	fiducia
relics	exsequiae
relief	solamen
relieve	laxo
relieve	lenio
relieve	levo
relieve	relevo
relieve	subvenio
religious	monastica
religious formula	carmen
religiously	pie
reluctance	tergiversatio
rely on	consisto
rely on	credo
rely upon	confido
relying on	subnixus
relying upon	fretus
relying upon, depending on, banking on	fretus
remain	commoror
remain	maneo
remain	moror
remain	subsisto
remain	versor
remain behind	remaneo
remain firm	persto
remain, stay, abide, linger	commoror
remainder	reliquum
remainder, what is left, leavings	reliquum
remaining	super
remains	fragmen
remains	fragminis
remains	somes
remarkable	ingens
remedy	obviam ire
remedy	rememdium
remember	commoneo
remember	memini
remember	meminisse
remember	recordor
remember	retineo
remembering	memor
remembrance	memoria
remembrance	monumentum
remind	commemoro
remind	commoneo
remind	moneo
remind someone forcibly of something	commoneo
reminder	admonitio
remote	longinquus
remoteness	loginquitas
removal	amotio
remove	abdo
remove	abrogo
remove	abrumpo
remove	amoveo
remove	aufero
remove	aveho
remove	demo
remove	diluo
remove	emoveo
remove	eximo
remove	extractum
remove	extraho
remove	extraxi
remove	semoveo
removed	semotus
rend	scindo
render	persolvo
render	reddo
render impossible	infectum reddere
render inviolable	sanctio
render irrevocable	sanctio
render vain	fatuo
rendered	effectus
renew	renovo
renew	reparo
renew	resumo
renewal	renovatio
renewal	resurrectio
renewal, renovation, restoration	renovatio
rennovated, reconstructed, rebuilt /recycled	redivivus
renounce	abdico
renovated	redivivus
renovation	renovatio
renown	celebritas
renown	gloria
renowned	celebrer
renowned	clarus
renowned	famosus
renowned	illustratus
renowned	inclitus
renowned	inclutus
renowned, well known, popular, famous	celebrer
rent	capio
rent	pensio
repair	reconcilio
repair	redintegro
repair	reficio
repair	renovo
repair	resarcio
repair	restituo
repay	remuneror
repeal	abrogo
repeat	ingemino
repeat	itero
repeat	reddo
repeat	refero
repeat	renovo
repeat	repeto
repeat	resumo
repeat	revolvo
repeated	crebra
repeated	saepenumero
repeated, again and again	saepenumero
repeatedly	crebro
repeatedly	identidem
repeatedly	saepe
repeatedly	saepius
repeatedly	sepe
repeatedly	sepius
repeatedly, often, one after the other	crebro
repel	refuto
repel	repello
repel	reverbero
repel violently	extundo
repent	paeniteo
repetition	repetitio
replace	restituo
replenish	repleo
reply	refer
reply	refero
reply	remandatum
reply	respondeo
reply	respondi
reply	responsum
report	adfero
report	affero
report	agnosco
report	fama
report	nuntio
report	opinio
report	refer
report	relatio
report	relatus
report	renuntio
repose	acquiesco
repose	otium
repose	quies
repose	requies
repose	requietum
repose	silentium
represent	assimulo
represent	designo
represent	exprimo
represent	reddo
representative	responsal
repress	cohibeo
repress	compescor
repress	confuto
repress	refuto
reproach	insequor
reproach	opprobrium
reproach	probrum
reproach, disgrace	opprobrium
reproachful	ciminosus
