a body	en kropp
masthead	masttopp
mastiff	stor hund
mastodon	mastodont
masturbate, wank	onanera
masturbating	onanerande
masturbating	onani
mat	matt yta
matador	matador
match	matcha
match	tändsticka
match point	matchboll
match, spouse, husband	make
match-cord	stubintråd
matchbox	tändsticksask
matching, correspondent, equivalent, corresponding	motsvarande
matchmaker	äktenskapsmäklare
mate	para
material	materiell
materialism	materialism
materially	väsentligt
materialze	bli till
materialze, realize	förverkliga
materity dress	mammaklänning
maternal	moders-
maternity home, lying hospital	BB
matey	kamratlig
math, arithmetik, mathematics	matematik
mathematical	matematiska
mathematically	matematiskt
mathematician, mathematicians	matematiker
mating call	parningsläte
matins	morgonbön
matins	ottesång
matinée	matiné
matrarch	matriark
matrices	matriser
matricide	modermördare
matriculate	skriva in sig vid universitet
matriculation	studentexamen
matrimonial	giftermåls-
matrix, master copy	matris
matron, Mrs(misses), lady, wife	fru
matter	materia
matter of taste	smaksak
matter, thing, case, item	sak
matter-of-fact, objective	saklig
matters	stoffet
matting	mattillverkning
mattock	bred hacka
mattress	madrass
mature, adult, grown, grown up	vuxen
maturity	mognad
matutinal, early	tidig
matzo	osyrat bröd
maudlin, namby-pamby, sentimental	sentimental
maudlin, weepy, tearful	gråtmild
maul, ill-treat	misshandla
maunder	släntra omkring
maundy	fottvagning
Maundy Thursday	skärtorsdag
mausoleum	mausoleum
mauve	malvafärgad
maverick	ensamvarg
maverick, mugwump	politisk vilde
mavis	taltrast
maw, opening, gap	gap
mawkish, namby-pamby	mjäkig
mawkish, nauseating, queasy	kväljande
maxim	sentens
maximazed	maximerad
maximize	maximera
maximum	maximal
May	maj
may	må
may	måtte
may, might, mayst	kan
maybe	kanhända
maybe, haply, perhaps	kanske
mayday	första maj
MayDay	S.O.S.
mayflower	vårblomma
mayfly	dagslända
mayhem	förödelse
mayonnaise	majonnäs
mayor	borgmästare
maypole	majstång
maze	virrvarr
mazurka	mazurka
mazy, baffling	förvirrande
mdi-interface	mdi-gränssnitt
me, myself	mig
mead	mjöd
meadow mushroom	champinjon (ängs- )
meadow, mead	äng
meagre, thin, lank, gaunt, lean, peaked	mager
meal	mål mat
meal time	matdags
meal-beetle	mjölbagge
meal-ticket	lunchkupong
mealy-mouthed	undanglidande
mean	småaktig
mean, paltry	lumpen
mean, think, suppose	mena
meaning	betyder
meaningful	meningsfull
meaningless	intetsägande
means	menas
means	råd (utväg)
means of communication	fortskaffningsmedel
means, expedient	utväg
means, stepping-stone, expedient	medel
meant	menade
meant	menat
meanwhile, during, in the meantime, meantime	under tiden
measles	mässling
measly, piteous, rueful, pitiable	ynklig
measure	mäta
measure of length	längdmått
measure, measurement, measures	mått
measure, move	åtgärd
measured	avmätt
measuringtape	måttband
meat course	kötträtt
meat-shop	köttaffär
meatball	köttbulle
meatloaf	köttfärslimpa
meatpie	köttpaj
mecaw	ara
mechanical	maskinell
mechanical, mechanic	mekaniker
mechanically, routinely	rutinmässigt
mechanics	mekanik
mechanism	mekanism
medal	medalj
meddle (in)	befatta sig med
meddle (in), interfere	lägga sig i
meddles	befattar sig
meddlesome	påträngande
mediaeval, medieval	medeltida
medial	medial
medial	mitt-
median	median
mediate, arbitrate	medla
mediation	förmedling
mediation	medling
mediator, arbitrator	medlare
medical	läkar-
medical	medicinsk
medical student	medicinare
medicament, pharmaceuticals, medicine, remedy	läkemedel
medicine man	medicinman
medicine, medication	medicin
mediocre, middling	medelmåttig
mediocrity, average	medelmåtta
meditate	meditera
Mediterranean	medelhavs
medium length	medellängd
medium wave	mellanvåg
medium, average	medelmåttlig
medulla oblongata	förlängda märgen
medusa, jelly-fish	manet
meek	tålmodig
meek, humble, lowly	ödmjuk
meek, submissive	undergiven
meet	mötas
meet	träffas
meet again, see again	återse
meet with	anträffa
meet with kindness	röna vänlighet
meet with, find	påträffa
meeting, collection, gathering, assembly	samling
meeting, session	sammanträde
megahertz	megahertz
megalomania	storhetsvansinne
megaphone	megafon
megs	MB
megs	megabyte
melancholy	melankoli
melancholy, saturnine	tungsint
melancholy, spleen	svårmod
melodic, melodious	melodisk
melodrama	melodrama
melody, tune	melodi
melon	melon
melt	smälta
melt, thaw	tina
melting	smält
melting pot, crucible	smältdegel
meltingpoint	smältpunkt
member	ledamot
member	medlem
member of Parliament	riksdagsman
member's	medlems
membership	medlemskap
membrane	membran
memento	minnessak
memo	PM
memoir	memoar
memoir, biography	biografi
memorable	minnesvärd
memorandum	promemoria
memorial	minnesmärke
memories	minnen
memorize	memorera
memorizing	memorerande
memory-depending	minnesberoende
memos	pm
men, menfolk	karlar
menacing	hotet
mendacious, lying, deceitful	lögnaktig
mendacity	lögnaktighet
mended	reparerade
mending	reparerande
menfolk	manfolk
menial	tjänar-
meningitis	hjärnhinneinflammation
menopause	klimakteriet
menses	menstrution
mensuration, measuring	mätning
menswear	herrkläder
mental	sinnes-
mental	sjäslig
mental state	själstillstånd
mentality	mentalitet
mentally	andligen
mentally	mentalt
menthol	mentol
mention	omnämna
mention, name	nämna
mention, speak of	omtala
mentor	handledare
mentor, advisor	mentor
menu	meny
menu, bill-of-fare	matsedel
menu-driven	menystyrt
mercantile	affärs-
mercantile	handels-
mercenary	legosoldat
mercer	manufakturhandlare
merchandise	handelsvaror
merchantability	köpvärde
merciful, gracious	nådig
merciless, pitiless	skoningslös
merciless, unmerciful, pitiless, ruthless	obarmhärtig
mercilessly	obarmhärtigt
mercury	kvicksilver
mere	blott och bar
merely, just, only	bara
merely, only	blott
merge, cement	sammanfoga
meridian	meridian
merited	välförtjänst
meritorious	förtjänstfull
merits	meriter
mermaid	sjöjungfru
merry-go-round, merry-goround, round-about	karusell
mescalin	meskalin
mesdames	mina damer
mesh	nätmaska
mesh, skulk	maska
mesmerize, hypnotize	hypnotisera
mess	mäss
mess kit	högtidsdräkt
mess up, tangle	trassel
message	budskap
message, commandment, order	bud
messenger	budbärare
messenger boy, errand-boy	springpojke
Messiah	Messias
messianic	messianska
met	möttes
metabolic	metabolism
metabolic	ämnesomsättnings-
metabolism	ämnesomsättning
metacharacter	metatecken
metage	mätavgift
metal	metall
metallic	metallisk
metallurgic	metallurgisk
metalwork	metallarbete
metalworking	metallbearbetning
metamorphosis	förvandling
metamorphosis	metamorfos
meteor	meteor
meteorology	meteorologi
meter, gauges	mätare
method	metod
methodical	metodisk
methodically	metodiskt
Methodist	metodist
methods	metoder
methylated spirit	rödsprit
meticolous, close, painstaking, careful	noggrann
meticolous, vivisection	minutiös
metre, metric	meter
metric system	metersystem
metric-convention	meterconventionen
metropolis	världsstad
mettle	skrot och korn
mettle, courage, spunk	kurage
mews	stallänga
miaow, mew	jama
mica	glimmer
mice	möss
michaelmas	mickelsmässa
micro-organism	mikroorganism
micro-size	mikro-storlek
micrometer	mikrometer
microprocessor	mikroprosessor
microscope	mikroskop
mid, amongst, among	bland
middle	mitten
middle age, average age	medelålder
Middle Ages - the	medeltiden
middle finger	långfinger
middle-aged	medelålders
middlebrow	medelsvensson
middleclasses - the	medelklassen
middleman, go-between	mellanhand
midge	kryp
midget	liten sportbil
midget	miniatyr-
midnight	midnatt
midshipman	sjökadett
midst, amid	mitt i
midsummer	midsommar
midwife	barnmorska
midwifery	förlossningshjälp
midwinter	midvintern
mightily	mäktigt
mighty, powerful	mäktig
migrant	flyttande
mike, microphone	mikrofon
mile-post, landmark	milstolpe
mile=10kms	mil=10km
mileage	miltal
militancy	stridbarhet
militaristic	militära
military	militärisk
military service, conscription	värnplikt
military, military man	militär
militia	lantvärn
militia	milis
milk	mjölk
milk	mjölka
milk lorry	mjölkbil
milk tooth	mjölktand
milking	mjölkande
milkmaid	mjölkerska
milkman	mjölkbud
milkman	mjölkförsäljare
milkman	mjölkutkörare
milksop	mes
milksop	morsgris
milky	mjölkaktig
mill	kvarn
mill-hand	fabriksarbetare
millenium	tusenårsrike
millennial	tusenårig
millennium	tusenårigt riket
millennium	årtusende
miller	mjölnare
millet	hirs
milliard	miljard
milliner	modist
millinery	modevaror
millinery shop	modeaffär
million	miljon
millionaire	miljonär
millions	miljoner
milt	mjölke
mime	mime
mime	pantomin
mimic	apa efter
mimic, imitate	härma
mimicry	härmning
mimicry	skyddande förklädnad
mince	finhacka
mince	tala fint
mincing-machine	köttkvarn
mind	ha något emot
mind, inclination	håg
minds	sköter
mine	gruva
mine	mina
mine	minera
miner	gruvarbetare
mineral	mineral
mines	gruvor
mingle, blend	blanda sig
miniature	miniatyr
minicomputer	minidator
minicomputers	minidatorer
minimise	minimera
minimized	minimerad
minimizes	minimerar
minimizing	minimerande
mining	bergsbruk
mining	gruvdrift
mining engineer	bergsingenjör
minion	gunstling
minion	någons kreatur
minipill	minipiller
minister	frikyrkopräst
minister	minister
minister, ministry	statsråd
ministry	ministär
ministry	prästämbete
ministry, department	departement
minnow	spigg
minor	moll
minority	minoriteter
minors	underåriga
mint	myntaväxter
mint	myntverk
mint, impress	prägla
minted	präglat
minuet	menuett
minuet	minut
minutes	minuter
minutes, protocol	protokoll
minx	näbbgädda
miracle	mirakel
miraculous, wonderful, wonderous, marvellous	underbar
mirage	hägring
mirrors	återspeglingar
mirth, merriment, merriness, jocundity, hilarity	munterhet
misadventure, danger, peril	våda
misapplied	missriktad
misc	div
miscarriage, abortion	missfall
miscellany, divers, sundry, sundries, various	diverse
mischief	ofog
mischief	okynne
mischief	rackartyg
mischievous, mischief, naughty	odygd
miscible	blandbar
misconception, misunderstanding, misapprehension	missuppfattning
misconduct, misbehaviour	dåligt uppförande
miser	girigbuk
miser	snålvarg
miserable	eländig
miserable, pityful, pitiful, pitiable, piteous	ömklig
miserably poor, destitute, indigent, penniless	utfattig
misery	elände
misfire, click	klicka
misfit	missanpassad
misgivings	farhågor
misgovernment	vanstyre
mishap, misadventure	missöde
mislay, station	förlägga
mislead	missleda
mislead	vilseleda
mislead, confuse	förvilla
mismanage	missköta
mismanage, neglect	vansköta
mismanagement, misconduct	vanskötsel
misplace	felplacera
misprint, printer's error	tryckfel
misrepresented	förvrängd
miss	missa
miss the mark	bomma
miss, fail	förfela
missile	kastvapen
missiles, robots	robotar
missing	saknas
mission	mission
missionaries	missionärer
missionary	missionär
misspelled	felstavat
misspellings	felstavningar
mist	töcken
mist, fog	dimma
mist, thick, fog	tjocka
mistletoe	mistel
mistress	matmor
mistress, concubine	älskarinna
mistress, housewife, house-wife, matron	husmor
misty	dimmig
misty, hazy	disig
mistype	skriva fel
misunderstand	missförstå
misunderstand	missuppfatta
misunderstanding	missförstånd
misuse	missbruka
mix	mixa
mix	sammanblanda
mix up	röra ihop
mixed up, concerned	inblandad
mixed-race	blandras
mixes	blandar
mixture, admixture, allsorts, amalgamation, medley	blandning
moabites	moabiterna
moan, groan	stöna
moat	vallgrav
mob	mobb
mob	mobba
mob	slödder
mob, populace	pöbel
mob, rabble	pack
mobility, moveability, alertness, agility	rörlighet
mobilize	mobilisera
mode of application	användningssätt
model, example	föredöme
model, mannequin	mannekäng
model, paragon, pattern	mönster
modeling	modellerande
models	modeller
modems	modem
moderate	moderat
moderate	moderera
moderate, deaden, mute, supress, subdue, muffle	dämpa
moderation, temperance, aim	måtta
modernize	modernisera
modest	blygsam
modesty	blygsamhet
modifications, alterations	ändringar
modified, changed	ändrad
modifiera	modify
modifies	ändrar
modifying, modify	modifiera
module	modul
modules	moduler
moist, dank, soggy, damp, humid	fuktig
mold, mould, mildew	mögel
moldboard	plogbill
mole	mullvad
molecule	molekyl
molecules	molekyler
molest	antasta
monarch	monark
monarchy	monarki
monarki	monarchy
monastery	munkkloster
monastery, convent, cloister, abbatial, abbey	kloster
Monday	måndag
monday-friday	måndag till fredag
monetary	monetär
money	pengar
money	penningar
money-back	pengarna-tillbaka
money-order, postal-order	postanvisning
monk	munk
monkey	apa
monkey	apekatt
monkey house	aphus
monks	munkar
monochrome	svartvit
monologue, soliloquy	monolog
monoplane	monoplan
monopolize	lägga beslag på
monopoly	monopol
monorail	enspårig järnväg
monosyllabic	enstavig
monotonous	enahanda
monotonous	monoton
monotonous, humdrum, drab	enformig
monsoon	monsun
monsters	monster
monstrous	monstruösa
month	månad
monthly	månadsvis
monuments	monument
mood	sinnesstämning
moody	lynnig
moody, irritable, waspish, fretful, fretting	retlig
moon	måne
moonlight	månljus
moonlight	månsken
moonlighting	extraknäck
moons	månar
mooring	ankartross
moot, dubious, equivocal, questionable, doubtful	tvivelaktig
mop	torka av
mope	vara dyster
moral	moralisk
moral philosophy	sedelära
morale	anda
morality	sedlighet
morally	moraliskt
morals, conduct	vandel
morals, morality, morale	moral
morass	myr
morass, bog, fen, swamp, marsh	kärr
mordant	sarkastisk
more	mer
more and more	alltmer
more or less	mer eller mindre
more, many, several	flera
morel	murkla
morgue, mortuary	bårhus
moribund	dödsdömnd
moribund	döende
Mormon	mormon
morning service	högmässa
morning, morn	morgon
mornings	morgnar
moron	fårskalle
moron, worm, wretch, mug, rotter, goof	kräk
morphia	morfin
morphology	morfologi
Morris chair	länsstol
morrow	följande dag
morrow	morgondag
morsel	munsbit
mortality, deathrate	dödlighet
mortar	mortel
mortar	mörsare
mortar, plaster	murbruk
mortgage	belåna
mortgage	inteckning
mortgage, security	hypotek
mortgages	inteckningar
mortification, gangrene	kallbrand
mortification, humiliation	förödmjukelse
mortification, indignation	harm
mortise	tapphål
mortmain	besittning för evig tid
mosaic	mosaik
Moscow	Moskva
mosey	pysa
moslem	muselman
mosque	moské
moss	mossa
most	allra
most	de flesta
most	flesta
most, mostly	mest
mostly	mestadels
mote	dammkorn
mote	grand
mote	smolk
mote, fragment, splinter, sharp	skärva
motel	motell
moth	mal
moth	nattfjäril
mother	mor
mother ship	moderfartyg
mother tongue	modersmål
mother wit	bondförstånd
mother, mummy, mom, mum, ma	mamma
mother-in-law	svärmor
motherboard	moderkort
motherfucker	skitstövel
motherhood	moderskap
motherly, maternal	moderlig
mothproof	malsäker
motif, theme, principal parts, composition	tema
motin sickness	åksjuka
motive	bevekelsegrund
motive	grond
motive, reason, provocation	anledning
motley	narrdräkt
motor coach, bus	buss
motor coach, charabane	turistbuss
motor, engine	motor
motor-race	biltävling
motor-way, highway	motorväg
motorbike	motorcyckel
motorboat	motorbåt
motorist	bilist
motorman	lokförare
motorman	spårvagnsförare
motto	devis
motto	motto
motto	valspråk
mould	mylla
mould, matrix	gjutform
moulder, decay	förmultna
moulding, casting	gjutning
moult	rugga
moult	ömsa skinn
mound	försvarsmur
mound, redoubt	skans
mount, ascend	bestiga
mountain lion	puma
mountain peak	bergstopp
mountain, scale from fish	fjäll
mountain-ash, mountin ash	rönn
mountaineer	bergsbestigare
mountainous	bergig
mounted	beriden
mounted	monterad
mounted	uppklistrad
mounted, equestrian	ridande
mountin chain	bergskedja
mourn, grieve	sörja
mournful	jämmerlig
mournful, piteous, dismal, sad, lugubrious	sorglig
mouse	blåtira
mouse	mus
mouse-coloured	råttfärgad
mouse-coloured, mousy	musgrå
mouse-ear	arv (växt)
mouse-trap	musfälla
mouser	råttfångare
mousse	mousse
moustache	mustasch
mouth	mun
mouth-organ	munspel
mouth-to-mouth	munmotmunmetoden
mouthful	munfull
mouthpiece	språkrör
mouthpiece, nozzle	munstycke
mouthwash	munvatten
mouthy	talträngd
move for	hemställa
move off, get away	ge sig av
move stock	sälja ut lagret
move the bowels	tömma tarmen
move up	gå fram
moveability	flyttbarhet
moved (to be..)	röras
mover	förslagsställare
mover, mover	drivande kraft
moves	flyttningar
movie house, movie	biograf
movie star	filmstjärna
moviegoer	biobesökare
moviemaker	filmskapare
moving, seizure	gripande
mow	höskulla
mow	loge
mow down	meja ner
mow, pare, outcropp, cut, rock (of stone), cliff	klippa
mower	slåttermasin
Mozambique	Mocambique
mph	miles per timme
much the biggest	utan tvekan den störste
much, far	vida
much-loved	mycket älskad
muchness	mägnd
muchness, size, magnitude, volume	storlek
muck	lort
muck, dung	dynga
mucker	polare
muckrake	dynggrep
muckrake	idka sensationsskriverier
muckraker	sensationsmakare
mucky	lortig
mucky	skitig
mucous	slemmig
mucous membrane	slemhinna
mud bath	gyttjebad
mud flap	stänkskydd
mud, slush, slime, mire	dy
muddle-headed, baffled, confused, dazed	förvirrad
muddy, slimy	dyig
mudpack	ansiksmask
mueslie	müsli
muezzin	böneutropare
muff	muff
muffin	tekaka
muffle	linda om
muffler	tjock halsduk
mufti	civila kläder
mug, tankard	sejdel
mugger, hooligan	ligist
mugging, wafer, hold-up, robbery with violence	rån
mulatto	mulatt
mulberry	mullbär
mulch	kompost
mulct	böter
mulct	bötfälla
mule	mulåsna
mule	tjurskalle
muleteer	mulåsnedrivare
mulish	halsstarrig
mull, muse, ponder, cogitate	fundera
mulled	vinglögg
mulled and spiced wine	glögg
mullet	multe
multi-access, multiuser	fleranvändarsystem
multi-activity centre	allaktivitetshus
multi-coloured	flerfärgstryck
multi-engined	flermotorig
multi-facrted	mångfasetterad
multi-lateral	mångsidig
multi-lingual	flerspråkig
multi-partite	flerdelad
multi-saw	flersågs
multiangular	månghörnig
multilevel	flernivå
multinational	multinationell
multiplayer	flera deltagare
multiplication	multiplikation
multiplied	multiplicerat
multiply	avla av sig
multiply	multiplicera
multiply, increase, augment	föröka
multipurpose	universal-
multitude	myckenhet
multitudinous	myllrande
mumble, murmur, mutter	mumla
mumbo jumbo	magisk
mumbo jumbo	rappakalja
mumbo jumbo, fetish, juju	fetisch
mummer	mimartist
mummer	skådis
mummification	mumifiering
mummy	mumie
mumps	påsksjuka
munch	snaska på
munch, nibble	mumsa
Munich	München
municipal	kommunal
munificence, liberality	generositet
munificencent	storslagen
muniments	privilegiebrev
muniments	urkunder
mural	mur-
mural	vägg-
mural	väggmålning
murder	mord
murder, assassinate	mörda
murderous, homicidal	mordisk
murex	purpursnäcka
murk, obscure, darksome, dusky, dark	mörk
murky, cloudy	mulen
murky, dreary, saturnine, morose, lugubrious, glum	dyster
murmur, bone, grumble	knota
muscat	muskatell
muscatel	muskatellvin
muscle	muskel
muscle-bound	stelbent
muse	musa
muse	sångmö
museum	museum
mushroom	champinjon
mushroom, sponge, fungus	svamp
mushy	grötig
mushy	mosig
mushy	sörjig
music	musik
music book	notbok
music box	speldosa
music stand	notställ
music-hall	varietéteater
musical	musikalisk
musician	musiker
musk	mysk
musket	musköt
musketeer	musketör
muskox	myskoxe
muskrat	bisamråtta
Muslem	muselmansk
muslim	muselin
muss, mess up	röra till
must	must
must not, mustn't	får inte
must, ought, barking, will, shall	skall
mustang	mustang
mustard	senap
mustard gas	senapsgas
muster	mönstra
musty, mouldy	möglig
mutability	föränderlighet
mutant	muterade
mutilate, mutilitate, maim	lemlästa
mutineer	myterist
mutiny	myteri
mutism	stumhet
mutt	klantskalle
mutter, murmur	mummel
mutton	fårkött
mutton chop	fårkotlett
mutual	inbördes
mutual, common, concerted, corporate	gemensam
mutural, reciprocal	ömsesidig
muzzle	mule
muzzle	munkorg
muzzle	tysta
muzzle velocity	utgångshastighet
muzzle-loader	mynningsladdare
my affair	ensak
my, middle	mitt
myalgia	muskelvärk
mycologist	mykolog
mycologist	svampkännare
myope, short-sighted, near-sighted	närsynt
myriad	myriad
myrmidon	hantlangare
myrmidon	hejduk
myrrh	myrra
myrtle	myrten
myself, yuorself...., self	själv
mysteriously	mystiskt
mysteriousness, mysterious, uncanny	mystisk
mysteriousness, quirk	besynnerlighet
mystic	mystiker
mysticism	mystik
mystification, mystery	mysterium
mystify	mystifiera
mystique	mytbildning
myth, fable	myt
mythical	mytisk
mythological	mytologisk
mythology	mytologi
myxomatosis	kaninpest
mêlée	handgemäng
mêlée	livlig debatt
nacre	pärlemor
nadir	bottenläge
naevus	födelsemärke
nag	tjata
nag, carp	gnata
nag, jade	hästkrake
nags	gnatar
naiad	najad
naiad	vattennymf
nail	nagel
nail	spik
nail	spika
nail-biting	nagelbitning
nail-file	nagelfil
nail-polish, nail-varnish	nagellack
nail-scissors	nagelsax
naked	blottad
name	banämning
name	namnge
name part	titelroll
name, baptize, christen	döpa
name, names	namn
name-calling	utskällning
name-day	namnsdag
name-dropping	kändissnobberi
name-plate	namnskylt
named, labeled	namngiven
nameless	namnlös
nameless, anonymous	anonym
nameless, ineffable, inexpressible, unspeakable	outsäglig
namely, videlicet	nämligen
names	döper
namesake	namne
naming	namngivning
nancy-boy	stjärtgosse
nankeen	nankin
nanny, nurse	barnsköterska
nap	stalltips
nap, horn	lur
napalm	napalm
naphtha	nafta
naphthalene	naftalen
napkin	servett
napkin, diaper, nappy	blöja
Naples	Neapel
nappa	nappaskinn
narcissist	narcissist
narcissist	självplågare
narcissus	pingslilja
narcomania	narkomani
narcomaniac	narkoman
narcos, narcosis, nacosis	narkos
narcotic	narkotiskt
nark	tjallare
narrate, recount, tell	berätta
narrative, tale, story	berättelse
narrator	berättare
narrow off	avsmalna
narrow, slim, slender	smal
narrow, tight	trång
narrow-chested	smalbröstad
narrow-minded, stuffy	inskränkt
narrowly	smalt
nasal	nasal
nasal	näs-
nasalization	nasalering
nasalize	uttala nasalt
nascency	födsel
nasturtium, cress	krasse
natal	födelse-
natality	födelsetal
nates, residence, seat	säte
nation	nation
nation-state	nationalstat
national	nationell
national	riks-
national-costumes, folk-costumes	folkdräkter
nationalistic	nationalistisk
nationalities	nationaliteter
nationality	nationalitet
nationalization	nationalisering
nationalize	förstatliga
nationwide	landsomfattande
native	inföding
native place	hembygd
native, natural-born, native-born	infödd
native-country	fosterland
natives	infödda
nativity play	julspel
nativity, birth-rate, natality	nativitet
natter, mutter, mumble	muttra
natty, pretty, neat	nätt
natty, spruce, dainty, tidy, dapper	prydlig
natural	naturlig
naturalistic	naturalistisk
naturalization	naturalisering
naturalize	naturalisera
nature	natur
naught, nil, zilch, nought, zero	noll
nausea, disgust	äckel
nauseate, cloy	äckla
nauseous, fulsome	äcklig
nautical	nautisk
nautilus	pärlbåtsnäcka
naval	skepps-
naval officer	sjöofficer
naval, nautical	sjö-
navicert	lejdebrev
navigable	manöverduglig
navigate	navigera
navigating	navigerande
navigator	navigatör
navvy	rallare
navy	örlogsflotta
navy-blue	marinblå
nay	nejröst
nay, no	nej
Nazareth	Nasaret
Nazi	nazist
Nazis	nazisterna
naïveté	naivitet
Neanderthal man	neandertalmänniska
near to	intill
near-accident	olyckstillbud
near-tide, neap	nipflod
nearby	i närheten
nearly	närapå
nearside	nära sidan
neatness	prydlighet
nebula	nebulosa
necessarily	nödvändigvis
necessary, required, imperative	nödvändig
necessitate	nödvändiggöra
necessitous, needy	behövande
necessity, necessity	nödvändighet
necessity, need, needs, requirment	behov
neck, back of the head, nape	nacke
neck-tie	kravatt
neck-wear	kragar
neckband	halslinning
necking	hångel
necklace	halsband
neckline, cleavage	urringning
necrology	dödslista
necromancy	svartkonst
necrosis	nekros
necrosis	vävnadsdöd
nectar	nektar
nectarine	nektarin
need, want	behöva
needful	behövlig
neediness, necessity, need, want	nöd
needle	barr
needle	synål
needle, pin, pins, brad, tack	stift
needlessly, needless	onödigt
needlewoman	sömerska
needn't	behöver inte
needs	ovillkorligen
negative	baksida
negative	negativa
neglect	försumma
neglect	vanvårda
neglect, omit	underlåta
neglect, omit	uraktlåta
neglected	försummad
neglected, untidy, unkempt	ovårdad
neglectfully	försumligt
negligence	oaktsamhet
negligence, carelessness	slarv
negligence, omission	underlåtenhet
negligent, remiss, negligencet, neglectful	försumlig
negligible	försumbar
negligé	negligé
negotiate	ackordera
negotiate	förhandla
negotiate	underhandla
negotiating	underhandling
negotiation	förhandling
negotiator	förhandlare
negro	neger
nehemiah	nehemja
neighbour	granne
neighbourhood	grannskap
neighbouring, nearby	närbelägen
neighbourliness	grannsämja
neighbourly	umgängsam
neighbours	grannar
neither	ingendera
neither	varken
neither...nor	varken...eller
neo-babylonian	nybabyloniska rikets
neo-colonialism	nykolonialism
neolithic	yngre stenåldern
neologism	nybildning
neopagans	nyhedningar
nephew	brorson
nephew	systerson
nepotism	nepotism
neptune	neptunus
nerve	nerv
nerve-racking	nervpåfrestande
nerve-shattering	nervskakande
nervously	nervöst
nervousness, anxiety	ängslan
nervy, nervous, jumpy	nervös
nest	ågelbo
nest (a birds)	bo (fågel-)
nest, den	näste
nest-egg	sparslant
nesting-box	fågelholk
nestle	krypa in
net	netto
net, web	nät
netball	nätboll
Netherlander	nederländare
Netherlands	nederländerna
Netherlands - the	Nederländerna
netting	nätbindning
nettle	nässla
nettlerash	nässelfeber
network's	nätverks
network, networks	nätverk
networked	för nätverk
networking	nätverksarbetande
networkprogram	nätverksprogram
neurology	neurologi
neurosis	neuros
neurotic	nervsjuk
neurotical	neurotiskt
neuter, neuter	neutrum
neutral, unbiassed, neuter	neutral
neutrality	neutralitet
neutralization	neutralisering
neutralize	neutralisera
never	aldrig
never at a loss	aldrig rådlös
never-ending, endless	ändlös
never-never	avbetalning
never-say-die	uthållig
never-to-be-forgotten	oförgätlig
nevermore	aldrig mer
nevertheless	icke desto mindre
nevertheless, still, however, yet	dock
new year	nyår
New Year`s Day	nyårsdagen
New Year`s Eve	nyårsafton
new, novel, fresh	ny
new-born, newborn	nyfödd
new-comer	nykommling
new-fashioned	nymodigt
new-fledged	nyfjädrad
new-laid, fresh	färsk
new-mown	nyklippt
newcomer	nykomling
newer	nyare
newest	nyaste
newfangled, new-fangled	nymodig
newly	nytt
newly married	nygift
newly-weds	nygifta
news-boy	tidningspojke
news-office	depeschbyrå
news-reel, newsreel	journalfilm
news-related	nyhetsrelaterad
news-vendor	lösnummerförsäljare
newsagency	nyhetsbyrå
newscast	nyhetssändning
newsflash	kort extrameddelande
newsgroup	nyhetsgrupp
newsgroups	nyhetsgrupper
newsletter	nyhetsbrev
newsmonger, telltale, talebearer	skvallerbytta
newspapers	tidningar
newsprint	tidningspapper
newsreader, newscaster	nyhetsuppläsare
newsreel	journal-
newsroom	nyhetsredaktion
newssheet	liten tidning
newsvendor	tidningsförsäljare
newt	vattenödla
newusers	nya-användare
next	härnäst
next, nighbour	nästa
next-of-kin	närmast anhörig
nib	stålpenna
nibble	knapra
nibble, snap	nafsa
nice, beautiful	skön
nice, dear	rar
nicely, feint	fint
nicer	trevligare
nicest	finaste
nicet, acessibly	precision
nicety	nogrannhet
nicety, gentillity	finhet
niche	nisch
nickel	nickel
nickel-plate	förnickla
nickel-silver, alpaca	alpacka
nickname	öknamn
nicotine	nikotin
niece	brorsdotter
niece	systerdotter
nifty	tjusig
niggard	gnidare
niggardly	knussligt
niggle	knåpa
niggling	knåpgöra
nigh, nearly, close, close, impolite, up-close	nära
night	natt
night-blindness	nattblindhet
night-club	nattklubb
night-light	nattlampa
night-owl, night-bird	nattuggla
night-porter	nattportier
night-school	aftonskola
night-service	nattrafik
night-time	nattetid
night-vision	mörkerseende
nightcap	sängfösare
nightdress	nattlinne
nightfall	nattens inbrott
nightingale	näktergal
nightly, nocturnal	nattlig
nightmare	mara
nightmare	mardröm
nightmares	mardrömmar
nights	nätter
nightshirt	nattskift
nightshirt	nattskjorta
nightspot	nöjeslokal
nightwear	nattdräkt
Nile - the	Nilen
nimble-fingered	långfingrad
nimble-witted	kvicktänkt
nincompoop	tjockskalle
nine	nio
ninefold	niofaldig
ninepin, cone	kägla
ninepins	kägelspel
nineteen	nitton
nineteenth	nittonde
ninetieth	nittionde
ninety	nittio
nineveh	nineve
ninth	nionde
nip	frostskada
nipper, nippers	avbitartång
nipple	smörjkopp
nipples	nipplar
nippy	bitande kall
nit	gnetägg
nitrate	nitrat
nitre, nitric	salpeter
nitride	nitrera
nitrogen	kväve
nitrous	salpeterhaltig
nitty-gritty	praktiska detaljer
nix	inte ett dugg
no	inga
no admittance	ej tillträde
No Admittance	tillträde förbjudet
no one, nobody, no, none	ingen
no thanks	nej tack
no-man's-land	ingenmansland
noah	noa
nob	överklassare
nob, bud	knopp
nobble	fixa
nobility	adel
noble	ädling
noble, noble	adlig
