-a	egy
boss	irányít
botany	növénytan
botch	tákolmány
botch	összetákol
both	mindkét
bother	bosszúság
bother	alkalmatlankodás
bother	alkalmatlankodik
bother	nyugtalankodik
bottle	üveg
bottle	palack
bottle	befôz
bottom	legutolsó
bottom	fenék
bottom	alapoz
bough	faág
bought	buy
boulder	szikladarab
boulevard	sugárút (fasorral)
bounce	ugrálás
bounce	ugrál
bounce	pattan
bounce	ruganyosság
bouncing	életerôs
bound	határ
bound	ugrás
bound	ugrik
bound	visszapattan
bound	kötött
boundary	határvonal
bounder	modortalan
bounteous	bôkezû
bounteous	bôséges
bountiful	bôkezû
bountiful	bôséges
bounty	jótékonyság
bounty	pénzjutalom
bouquet	csokor
bourbon	amerikai whiskey
bourgeois	polgári
bow	íj
bow	vonó
bow	meghajlás
bowel	belek
bowel	belsô részek
bower	budoár
bower	lugas
bowl	tál
bowl	fagolyó
bowline	tengerészcsomó
bowling	tekézés
bowls	tekézik
bow-tie	csokornyakkendô
box	doboz
box	páholy
box	boksz
box	fülke
box	ütés
boxful	doboznyi
boy	fiú
boy	bennszülött inas
boyfriend	barát
boyhood	gyermekkor
boyish	kisfiús
bra	melltartó
brace	kapocsvas
brace	támasz
brace	kapcsos zárójel
bracelet	karperec
bracelet	karkötô
bracer	heveder
bracket	tartó
bracket	zárójel
brackish	kissé sós
brag	kérkedés
brag	kérkedô
bragging	kérkedés
braid	hajfonat
braid	befon
brain	agy
brain	ész
brainless	eszetlen
brainwave	szenzációs ötlet
braise	párol
brake	csalitos
brake	fék
brake	fékez
bramble	földi szeder
bran	korpa
branch	ág
branch	ágazat
branch	üzletág
branch	elágazik
branch	szétoszt
brand	parázs
brand	üszök
brand	megbélyegzés
brand	védjegy
brandy	borpárlat
brandy	konyak
brash	pimasz
brass	sárgaréz
brassiere	sörözô
brat	kölyök
brave	bátor
brave	merész
brave	nagyszerû
bravery	bátorság
bravery	pompa
brawl	lármás veszekedés
brawl	civakodik
brawl	verekszik
brawl	verekedés
brawny	izmos
brazen	rézbôl való
Brazil	Brazilia
Brazilian	brazil
breach	megszegés
breach	rés
bread	kenyér
bread	paníroz
breadth	szélesség
break	törés
break	hasadás
break	szünet
break	nyelvbotlás
break	összetör
break	megszakít
break	megszeg
breakable	törékeny
breakdown	üzemzavar
breakdown	lebontás
breaker	hullámtörés
breakfast	reggeli
breaking	törés
breakpoint	töréspont
breakthrough	áttörés
breakup	felbomlás
breast	mell
breast	kebel
breast	lélek
breath	lélegzet
breath	lehelet
breath	fuvalom
breathe	lélegzik
breathed	zöngétlen
breathless	lélekszakadva
breathless	élettelen
breech	hátsó rész
breeches	térdnadrág
breed	faj
breed	tenyészt
breeder	tenyésztô
breeding	tenyésztés
breeze	szellô
breeze	szellô fujdogál
breezy	szellôs
breezy	fesztelen
brethren	(hit)testvérek
brevity	rövidség
brew	fôzés (söré)
brew	fôzet
brewer	sörfôzô
brewery	sörfôzde
bribe	megveszteget
bribe	lepénzel
bribery	vesztegetés
brick	tégla
bricklayer	kômûves
bridal	nász-
bridal	mennyegzôi
bride	menyasszony
bridegroom	vôlegény
bridge	híd
bridge	orrnyereg
bridge	bridzs
bridgehead	hídfô
brief	rövid
brief	eligazít
briefcase	aktatáska
briefing	eligazítás
bright	fényes
bright	ragyogó
bright	eszes
brighten	fényesít
brighten	felvidít
brighter	fényesebb
brightest	legfényesebb
brightness	fényesség
brilliance	ragyogás
brilliance	éleselméjûség
brilliant	ragyogó
brilliant	pompás
brilliant	briliáns
brim	perem
brim	karima
brim	csordultig tölt
brimful	színültig
brimless	karimátlan
brimstone	kénkô
brindled	tarka
brindled	pettyes
brine	sósvíz
bring	hoz
bring	rávesz
brink	vmnek széle
brisk	fürge
brisk	eleven
bristle	sörte
bristle	felborzol
bristly	szúrós
British	brit
British	angol
brittle	törékeny
broach	szóba hoz
broad	széles
broad	átfogó
broad	érthetô
broadcast	adás
broadcast	közvetítés
broadcasting	adóállomás
broaden	szélesít
broadly	nagyjából
broadsword	pallos
brocade	brokát
broccoli	brokkoli
broccoli	spárga
brochure	brosúra
broil	pörlekedés
broil	roston süt
broiled	rostonsült
broke	pénztelen
broken	tört
broken	törött
brokenhearted	reményvesztett
broker	alkusz
bronze	bronz
brooch	melltû
brood	kotlik
broody	kotlós
brook	patak
brook	elszenved
broom	seprû
broomstick	seprûnyél
broth	zöldséges húsleves
brothel	bordély
brother	fivér
brotherhood	testvériség
brotherhood	társulat
brother-in-law	sógor
brotherly	testvéri
brought	hozott
brought	áthozat
brow	szemöldök
brow	homlok
brow	hegyorom
browbeat	megfélemlít
browbeat	lehurrog
brown	barna
brown	barnít
brown	lebarnul
browse	legel
browse	böngészik
bruise	horzsolás
bruise	zúzódás
bruise	zúz
bruise	megsebez
brunett	barna nô
brunt	lökés
brush	kefe
brush	kikefél
brush	ecset
brush	pamacs
brush	csetepaté
brush	sugárnyaláb
brushwood	bozót
brushwood	rôzse
brusque	rideg
brutal	brutális
brutality	kegyetlenség
brute	baromi
brute	állat
brute	kegyetlen
bubble	buborék
bubble	csalás
bubble	becsap
buccaneer	kalóz
buck	bak
buck	henceg
buck	dollár
bucket	vödör
buckle	csat
buckle	felcsatol
buckler	kis kerek pajzs
bucolic	falusias
bud	rügy
bud	bimbó
bud	pajtás
buddy	pajtás
budge	moccan
budge	mozdít
budgerigar	törpepapagáj
budget	költségvetés
buff	bivalybôr
buffalo	bivaly
buffalo	bölény
buffer	lökhárító
buffer	ütközô
buffet	büfé
buffet	tálalóasztal
buffet	ütés
buffoon	bohóc
buffoon	pojáca
bug	poloska
bug	bogár
bug	lehallgatókészülék
bugle	kürt
bugler	kürtös
build	felépítés
build	testalkat
build	épít
building	épület
building	építés
built	építésû
bulb	gumó
bulb	villanykörte
bulge	kidudorodás
bulge	kidülleszt
bulk	tömeg
bulk	terjedelem
bulk	kiemelkedik
bull	bika
bulldog	bulldog
bulldozer	talajgyalu
bullet	lövedék
bullet	golyó
bulletin	közlemény
bulletin	közlöny
bullock	tulok
bum	fenék
bum	csavargó
bumblebee	poszméh
bump	ütôdés
bump	koccanás
bump	daganat
bumper	lökhárító
bumpy	hepehupás
bun	molnárka
bunch	csomó
bunch	köteg
bunch	nyaláb
bunch	csomóba köt
bunch	csoportosul
bunch	összecsomósodik
bundle	batyu
bundle	bebugyolál
bundled	bebugyolált
bungle	kontár munka
bungle	elront
bungle	kontárkodik
bungler	kontár
bunion	gyzlladásos daganat
bunk	hálóhely
bunker	szénkamra
bunker	bunker
bunny	nyuszi
buoy	bója
buoy	bátorít
burden	teher
burden	rakomény
burdensome	nehéz
burdensome	terhes
bureau	hivatal
bureau	iroda
burgess	polgár
burglar	betörô
burgle	betör
burial	temetés
burke	megfojt
burly	termetes
burn	égés
burn	éget
burner	égetô
burning	forró
burnish	políroz
burnt	égetett
burrow	rókalyuk
burrow	búvárkodik (tudományosan)
burst	szétrobbanás
burst	kitörés
burst	vágta
bursting	kidurranás
bury	temet
bury	elás
bus	busz
bush	bokor
bush	cserje
bush	bozót
bush	bélel
business	üzlet
business	vállalat
business	foglalkozás
business	ügy
business	dolog
businessman	üzletember
businessman	kereskedô
busman	autóbuszvezetô
bust	mellszobor
bust	kudarc
bust	tönkretesz
bust	kipukkaszt
bustle	nyüzsgés
bustle	sürgölôdik
bustling	sürgölôdô
busy	elfoglalt
busy	serény
busy	forgalmas
but	de
but	csak
but	kivéve
butane	butángáz
butcher	mészáros
butcher	hentes
butler	komornyik
butt	puskatus
butt	döfés
butt	lökés
butter	vaj
butter	megvajaz
butterfly	lepke
buttock	far
buttock	ülep
button	gomb
button	gombol
buttonhole	gomblyuk
buxom	testes
buxom	pisospozsgás
buy	vesz
buy	vásárol
buyer	vevô
buyer	vásárló
buzz	zümmögés
buzz	zsongás
buzz	zümmög
buzz	zúg
buzzard	ölyv
buzzer	gôzsíp
by	-nál, -nél
by	-ra, -re
by	által
by	-val, -vel
by	alapján
bygone	múlt
bygone	régmúlt
bypass	kitérô
bypass	kerülôút
bystander	nézô
byway	mellékút
cab	bérkocsi
cab	taxi
cabal	ármány
cabaret	kabaré
cabbage	káposzta
cabbage	fejes káposzta
cabby	taxis
cabdriver	taxisoffôr
cabin	fülke
cabin	kabin
cabin	kajüt
cabin	kunyhó
cabinet	vitrin
cabinet	kabinet
cabinet	szekrény
cabinet	kormány
cabinetmaker	mûbútorasztalos
cable	kábel
cable	kötél
cable-car	drótkötélpálya
cablegram	kábeltávirat
cabman	bérkocsis
cabman	taxis
caboose	hajókonyha
cabriolet	kabriolet
cabstand	taxiállomás
cacao	kakaóbab
cache	rejtekhely
cache	elrejt
cackle	gágogás
cackle	fecsegés
cactus	kaktusz
cad	fajankó
cad	gazember
cadaver	hulla
cadaver	tetem
cadaverous	hullaszerû
cadaverous	halálsápadt
caddie	golfütôket hordó fiú
caddy	teásdobozka
cadence	hanglejtés
cadence	ütem
cadet	kadét
cadet	gyakornok
cadge	kunyerál
cafe	kávéház
cafeteria	önkiszolgáló étterem
caffeine	koffein
caftan	kaftán
cage	kalitka
cage	hadifogolytábor
cage	bányalift
cage	bezár
cagey	ravasz
cagey	gyanakvó
cairn	kôhalom
cajole	cirógat
cake	sütemény
cake	torta
cake	pogácsa
calabash	lopótök
calamitous	szerencsétlen
calamitous	gyászos
calamity	balsors
calamity	csapás
calamity	szerencsétlenség
calcify	elmeszesít
calcify	elmeszesedik
calcium	kalcium
calculable	kiszámítható
calculable	megbízható
calculate	kiszámít
calculate	figyelembe vesz
calculate	tervez
calculated	kiszámított
calculated	szándékos
calculating	számoló
calculating	számító
calculation	számítás
calculation	költségvetés
calculator	kalkulátor
calculator	számológép
calculus	számítás
caldron	üst
caldrons	katlan
calendar	naptár
calendar	lajstrom
calendar	évkönyv
calender	mángorol
calf	borjú
calf	borjúbôr
caliber	furat
caliber	kaliber
calibrate	kalibrál
calibrate	hitelesít
calibration	kalibráció
calibration	hitelesítés
calico	pamutvászon
calico	karton
call	kiáltás
call	hívás
call	licit (kártyában)
call	kiált
call	hív
call	felhív
call	meglátogat
callable	hívható
callback	visszahív
callbox	telefonfülke
caller	hívó
caller	látogató
calligraphy	kézirás
calling	hívás
calling	hivatás
callous	kérges
callous	érzéketlen
callow	kopasz
callow	tollatlan
callsign	hívójel
calm	csendes
calm	nyugodt
calm	csend
calm	nyugalom
calm	lecsillapul
calorie	kalória
calumniate	rágalmaz
calumny	rágalom
calumny	rágalmazás
calve	borjazik
camber	hajlás
came	come
camel	tevel
camera	fényképezôgép
camera	kamera
camomile	kamilla
camouflage	álcázás
camp	tábor
camp	groteszk
campaign	hadjárat
campaign	mozgalom
camper	táborozó
campgrounds	táborhely
camping	táborozás
campus	egyetem/fôiskola területe
can	kanna
can	konzervdoboz
can	tud
can	képes vmre
Canada	Kanada
Canadian	kanadai
canal	csatorna
canal	csatornázik
canard	hírlapi kacsa
cancel	áthúz
cancel	töröl
cancel	érvénytelenít
cancel	visszavon
cancellation	érvénytelenítés
cancer	rák
candid	ôszinte
candid	pártatlan
candidate	jelölt
candidness	ôszinteség
candied	cukrozott
candle	gyertya
candlelight	gyertyafény
candlestick	gyertyatartó
candor	ôszinteség
candour	ôszinteség
candy	cukorka
candy	kandiscukor
candy	édesség
cane	nád
cane	megbotoz
cane	náddal befon
canine	kutyaféle
canister	doboz
canker	fekély
canker	rozsda
canker	megférgesedik
canned	konzervált
canned	konzerv-
cannibal	kannibál
cannon	ágyú
cannon	ágyúz
cannon-fodder	ágyútöltelék
canny	ravasz
canoe	kenu
canoe	kenuzik
canopy	mennyezet
cant	ferdeség
cant	álszenteskedik
cantaloupe	sárgadinnye
cantankerous	civódó
cantankerous	rosszindulatú
canteen	kantin
canteen	étkezde
canter	könnyû vágta
canton	kanton
canvas	vászon
canvass	korteskedés
canvasser	kortes
cap	sapka
cap	fejkötô
cap	kupak
cap	felülmúl
capability	képesség
capability	adottság
capable	alkalmas
capacious	tágas
capacious	nagy befogadóképességû
capacitate	alkalmassá tesz
capacity	térfogat
capacity	befogadóképesség
capacity	kapacitás
capacity	tehettség
capacity	minôség
cape	köpeny
cape	hegyfok
caper	kapribogyó
caper	csíny
capillary	hajszálcsöves
capital	fô-
capital	fontos
capital	fôváros
capital	fôbenjáró
capitalist	kapitalista
capitalization	tôkésítés
capitalize	tôkésít
capitalize	nagybetûvel ír
capitation	lélekszám
capitulate	kapitulál
capitulate	megadja magát
capitulation	megadás
capon	kappan
caprice	szeszély
capricious	szeszélyes
Capricorn	Bak
capsize	felborul
capsize	felborít
capsule	kapszula
capsule	burok
captain	kapitány
captain	vezetô
captain	százados
caption	képaláírás
captious	gáncsoskodó
captious	szôrszálhasogató
captivate	meghódít
captivation	elbájolás
captive	fogoly
captive	rab
captivity	rabság
captivity	fogság
capture	elfogás
capture	elfog
capture	zsákmány
car	kocsi
car	autó
carafe	üvegkancsó
caravan	karaván
caravan	lakókocsi
carbon	szén
carburetor	karburátor
carburettor	porlasztó
carcase	tetem
carcass	dög
card	kártya
card	levelezôlap
cardboard	kartonpapír
cardigan	kardigán
cardinal	legfôbb
cardinal	bíboros
care	gond
care	törôdés
career	hivatás
career	karrier
carefree	gondtalan
careful	gondos
careful	óvatos
carefully	gondosan
carefully	figyelmesen
carefully	óvatosan
careless	gondatlan
careless	figyelmetlen
carelessness	gondatlanság
caress	cirógatás
caress	dédelgetés
caress	átölel
caress	dédelget
caretaker	gondnok
cargo	szállítmány
cargo	rakomány
caricature	karikatúra
caricature	kifiguráz
caries	fogszuvasodás
carnage	mészárlás
carnal	festi
carnal	érzéki
carnation	szegfû
carnival	karnevál
carnivorous	húsevô
carol	karácsonyi ének
carousal	mulatás
carousal	tivornya
carouse	mulat
carouse	dôzsöl
carp	ponty
carpenter	ács
carpenter	ácsol
carpet	szônyeg
carpet	felhint
carriage	kocsi
carriage	szállítmány
carrier	hordár
carrier	fuvaros
carrier	hordozó
carrion	dög
carrot	sárgarépa
carrot	répa
carrots	vörös hajú
carry	hordtávolság
carry	visz
carry	szállít
carry	hord
carry	visel
carry	elfoglal
carrying	szállítás
cart	kordé
cart	fuvaroz
carter	fuvaros
cartilage	porc
cartographer	térképész
cartography	térképészet
carton	karton
cartoon	vázlat
cartoon	rajzfilm
cartridge	töltény
cartridge	patron
cartridge	kazetta
carve	vág
carve	vés
carve	farag
carving	faragás
carving	faragvány
cascade	vízesés
cascade	zuhatag
case	ügy
case	eset
case	láda
case	tok
case	szekrény
casement	ablak(szárny)
case-study	esettanulmány
cash	készpénz
cash	pénz
cashier	pénztáros
cashier	elbocsát
casing	burkolat
casing	tömítés
cask	hordó
casket	ékszerláda
casket	érckoporsó
cassette	kazetta
cast	dobás
cast	lenyomat
cast	szereposztás
castaway	hajótörött
castaway	kitaszított
caste	kaszt
castigate	fenyít
castigate	büntet
castle	vár
castle	kastély
castrate	kiherél
castrate	kasztrál
casual	véletlen
casual	alkalmi
casualty	haláleset
casualty	halott
cat	macska
catalogue	katalógus
catalogue	jegyzék
catalogue	katalogizál
catapult	parittya
catapult	katapult
cataract	vízesés
cataract	hályog
catch	elfogás
catch	fogás
catch	zár
catch	elfog
catch	elkap
catch	rászed
catching	ragályos
catchword	elôfej
categorical	feltétlen
categorical	kategórikus
category	kategória
cater	élelmez
catering	élelmezés
caterpillar	hernyó
caterpillar	hernyótalpas
cathedral	székesegyház
cathedral	katedrális
cathode	katód
catholic	katolikus
catholic	egyetemes
catkin	barka
cattish	alattomos
cattish	rosszindulatú
cattle	marha
cattle	jószág
caucasian	kaukázusi
caught	catch
cauldron	üst
cauldron	katlan
cauliflower	karfiol
causal	okozati
causative	mûveltetô (ige)
cause	ok
cause	ügy
cause	okoz
causeless	indokolatlan
causeless	okatalan
caustic	maró
caustic	égetô
caustic	epés
caution	óvatosság
caution	óvadék
caution	figyelmeztetés
caution	figyelmeztet
cautious	óvatos
cautiousness	óvatosság
cavalry	lovasság
cave	barlang
caveat	figyelmeztetés
cavern	barlang
cavern	üreg
cavernous	üreges
cavity	odú
cavity	szuvasodás
caw	károg
cease	szüntet
cease	eláll vmtôl
ceaseless	szakadatlan
ceaseless	szüntelen
cedar	cédrus
cede	átenged
cede	felad
ceiling	mennyezet
ceiling	csúcsmagasság
celebrate	ünnepel
celebrated	ünnepelt
celebration	ünneplés
celebration	ünnepség
celebrity	hírnév
celebrity	híresség
celerity	gyorsaság
celery	zeller
celestial	mennyei
cell	cella
cell	sejt
cellar	pince
cellophane	celofán
cellist	csellista
cello	cselló
Celt	kelta
cement	cement
cemetery	temetô
cense	tömjénez
censor	cenzor
censorial	cenzori
censorious	bírálgató
censorious	kritikus
censorship	cenzúra
census	népszámlálás
center	középpont
center	központ
central	középponti
central	közép-
centralization	központosítás
centralize	centralizál
centre	középpont
centre	központ
centre	központosít
century	évszázad
ceramics	kerámia
cereal	gabonanemû
cereal	liszttermék
ceremony	szertartás
ceremony	ünnepély
certain	biztos
certain	bizonyos
certainly	biztosan
certainly	hogyne
certainty	bizonyosság
certificate	bizonyítvány
certificate	igazolás
certificated	képesített
certificated	okleveles
certified	igazolt
certified	hiteles
certify	igazol
certify	bizonyít
certitude	bizonyosság
cession	lemondás
cession	átengedés
chafe	horzsolás
chafe	felingerel
chafe	dühöng
chaff	pelyva
chafing	dörzsölés
chagrin	bosszúság
chain	lánc
chain	láncol
chain-reaction	láncreakció
chair	szék
chairman	elnök
chalice	kehely
chalk	kréta
challenge	kihívás
challenge	feladat
challenge	kétségbe von
challenger	kihívó
challenging	kihívó
chamber	terem
chamber	kamra
chamber	kamara
champagne	pezsgô
champaign	síkság
championship	bajnokság
chance	véletlen
chance	eshetôség
chance	esély
chancel	szentély
chandelier	csillár
chandler	gyertyaárus
chandler	szatócs
change	csere
change	változás
change	váltás
change	változat
change	váltópénz
change	cserél
change	vált
changeable	változékony
changeable	állhatatlan
changeless	változatlan
changeover	helycsere
changing	változó
channel	csatorna
channel	tengerszoros
chant	zsolozsma
chant	énekel
chap	repedés
chap	állkapocs
chap	fickó
chapel	kápolna
chapter	fejezet
chapter	káptalan
char	napszám
char	elszenesedik
character	jelleg
character	jellem
character	személy
character	személyiség
characteristics	jellemzô
characteristic	jellegzetes
characteristic	ismertetôjel
characteristics	jellemvonás
charcoal	faszén
charge	vád
charge	roham
charge	támadás
charge	költség
charge	megbízás
charge	vádol
charge	rohamos
charge	felszámít
charge	megbíz
charitable	jószívû
charity	emberszeretet
charity	jótékonyság
charity	könyörület
charm	igézet
charm	báj
charming	bájos
chart	térkép
chart	diagram
chart	táblázat
charter	oklevél
charter	okirat
charter	kibérel
charter	szabadalmaz
charwoman	takarítónô
charwoman	bejárónô
chary	takarékos
chase	üldözés
chase	üldöz
chase	vadászik
chaser	üldözô
chassis	alváz
chaste	szemérmes
chaste	szûzies
chastise	megfenyít
chastise	megbüntet
chastity	szûziesség
chat	csevegés
chat	beszélgetés
chat	beszélget
chatter	csicsergés
chatter	fecsegés
chatterbox	locsifecsi
chatterer	locsifecsi
chatty	beszédes
cheap	olcsó
cheap	értéktelen
cheapen	leértékel
cheapen	olcsóbbá tesz
cheapest	legolcsóbb
cheapness	olcsóság
cheat	csalás
cheat	csaló
cheat	csal
check	akadály
check	megtorpanás
check	ellenôrzés
check	elismervény
check	ellenôriz
check	megjelöl
check	sakkban tart
check	felad (poggyászt)
checked	kockás
checker	ellenôr
checker	átvevô
checking	ellenôrzés
checking	csomagfeladás
checkmate	sakkmatt
checkout	kijelentkezés
checkpoint	ellenôrzôpont
cheek	arc
cheek	pofa
cheek	szemtelenség
cheeky	szemtelen
cheerful	vidám
cheerful	jókedvû
cheerless	szomorú
cheery	eflvidító
cheese	sajt
cheesecake	túróslepény
cheetah	gepárd
chef	séf
chemical	vegyi
chemical	kémiai
chemise	ing
chemist	vegyész
chemistry	kémia
cheque	csekk
chequer	kockás
chequered	változatos
cherish	kedvel
cherish	dédelget
cherry	cseresznye
chess	sakk
chest	láda
chest	pénztár
chest	mellkas
chestnut	gesztenyebarna
chew	rág
chew	rágás
chew	kérôdzik
chewing-gum	rágógumi
chicane	sikán
chicanery	fondorkodás
chick	kiscsirke
chick	csaj
chicken	csirke
chicken	csibe
chickpea	csicseriborsó
chide	szid
chide	korhol
chief	fônök
chilblain	fagyás
child	gyerek
child	gyermek
childbed	gyerekágy
childhood	gyermekkor
childish	gyerekes
childish	gyermekies
childless	gyermektelen
childlike	gyermeteg
children	gyerekek
chill	hûvös
chill	hideg
chill	fagyos
chill	meghülés
chill	megdermeszt
chilled	hûtött
chime	harangjáték
chime	harangszó
chime	összhang
chimney	kémény
chimney	kürtô
chin	nyakig
china	Kína
china	porcelán
Chinese	kínai
chink	rés
chink	csengés
chip	forgács
chip	szilánk
chip	csorbulás
chip	farag
chip	kicsorbít
chipped	csorba
chirp	ciripelés
chirp	ciripel
chisel	vésô
chisel	vés
chisel	cizellál
chive	metélôhagyma
chocolate	csokoládé
choice	válogatott
choice	választás
choice	választék
choir	kórus
choir	énekkar
choke	megfolytás
choke	megfulladás
choke	elfojt
choke	megfullad
cholera	kolera
choose	választ
choose	kiválogat
chop	csapás
chop	borda
chop	aprít
chop széttagol
chopper	húsvágó bárd
choppers	helikopter
choppy	változékony
choppy	fodrozódó
chopsticks	evôpálcikák
chord	húr
chord	akkord
chore	házimunka
choreographer	koreográfus
choreography	koreográfia
chose	choose
chosen	kiválasztott
Christian	keresztény
Christine	Krisztina
Christmas	karácsony
Christopher	Kristóf
chrome	króm
chromium	króm
chronic	idült
chronicle	krónika
chronicler	krónikás
chronological	idôrendi
chubby	pirospozsgás
chubby	pufók
chuck	satu
chuckle	kuncogás
chuckle	kuncog
chump	tuskó
chump	tömb
chunk	nagy darab
chunky	tagbaszakadt
church	templom
church	istentisztelet
church	egyház
churchyard	temetô
churl	bugris
churlish	neveletlen
cider	almabor
cigar	szivar
cigarette	cigaretta
cinder	hamu
cinderella	Hamupipôke
cinema	mozi
cinema	filmszínház
cipher	zéró
circle	kör
circle	körvonal
circle	karika
circle	körforgás
circle	körülvesz
circle	kering
circuit	körforgás
circuit	kerület
circuit	áramkör
circuitous	körülményes
circuitous	kerülô
circular	kör-
circular	visszatérô
circulate	forog
circulate	kering
circulate	terjed
circulating	forgó
circulation	körfogás
circulation	keringés
circumscribe	körülír
circumscribe	körülhatárol
circumstance	körülmény
circumstances	helyzet
circumstantial	körülményes
circumvent	rászed
circumvent	megcsal
circumvent	elgáncsol
circus	cirkusz
circus	körtér
citadel	fellegvár
citation	idézés
citation	idézet
cite	megidéz
citizen	állampolgár
citizen	polgár
citron	cédrátcitrom
city	város
civic	polgári
civic	városi
civil	polgári
civil	civil
civility	udvariasság
clad	clothe
claim	igény
claim	követelés
claim	jogcím
claimant	igénylô
claimant	felperes
clam	ehetô kagyló
clamber	kapaszkodás
clamber	mászik
clamber	kúszik
clammy	nyirkos
clamor	lárma
clamour	lárma
clamour	lármázik
clamp	kapocs
clamp	szoritó
clamp	szorít
clan	klán
clandestine	titkos
clandestine	alattomos
clang	csengés
clang	cseng
clank	csörgés
clank	csörget
clap	taps
clap	csattanás
clap	tapsol
clapping	tapsolás
clarification	tisztázás
clarify	tisztít
clarify	tisztáz
clarion	harsona
clarity	világosság
clash	csattanás
clash	összeütôdés
clash	zörög
clash	ellentmond
clasp	kapocs
clasp	ölelés
clasp	átfog
clasper	inda
class	osztály
class	besorol
classic	klasszikus
classic	kitûnô
classical	klasszikus
classification	osztályozás
classification	besorolás
classified	bizalmas
classified	titkos
classify	osztályoz
classify	besorol
clatter	zörgés
clatter	csattogás
clatter	zörög
clatter	fecseg
clause	záradék
claw	karom
claw	karmol
clay	agyag
clean	tiszta
clean	sima
clean	tisztít
clean	takarít
cleaner	tisztító
cleaner	takarító
cleaning	tisztítás
cleaning	takarítás
cleanliness	tisztaság
cleanly	tiszta
cleanly	tisztán
cleanup	tisztogatás
cleanup	razzia
clear	tiszta
clear	áttetszô
clear	világos
clear	érthetô
clear	hibátlan
clear	tisztít
clear	felment
clear	tisztáz
clear	kiûrít
clear	kifizet
clearance	megtisztítás
clearance	vámkezelés
clearing	kiárusítás
clearing	elszámolás
clearing	vámolás
clearing	megtisztítás
clearly	érthetôen
cleave	hasít
cleave	ragaszkodik
clef	(hangjegy)kulcs
cleft	cleave
clemency	irgalom
clement	irgalmas
clement	enyhe
clench	összeszorít
clench	megmarkol
clergy	papság
clergyman	lelkész
cleric	pap
clerical	papi
clerk	írnok
clerk	hivatalnok
clerk	eladó
clerk	tisztviselô
clever	okos
clever	eszes
cleverness	okosság
cleverness	leleményesség
cliché	közhely
click	kattanás
click	csattanás
click	kattint
click	összepasszol
client	ügyfé
client	vevô
clientele	vevôkör
cliff	szikla
climate	éghajlat
climate	légkör
climax	tetôpont
climax	klimax
climb	emelkedés
climb	mászás
climb	emelkedik
climb	mászik
climber	mászó
climbing	mászás
climbing	emelkedés
clinch	szórögzítés
clinch	szójáték
clinch	összeszegel
cling	belekapaszkodik
cling	csüng
cling	tapad
cling	ragaszkodik
clinic	rendelôintézet
clinic	klinika
clinical	klinikai
clink	csengés
clinker	salak
clipboard	csipeszes írótábla
clipper	nyírógép
clipping	nyírás
cloak	köpönyeg
cloak	beborít
cloak	lelplez
cloakroom	ruhatár
clock	óra
clock	mér
clockwise	óramutató irányában
clog	akadály
clog	facipô
clog	gátol
clone	klón
cloister	kolostor
close	zárt
close	bekerített
close	fülledt
close	közeli
close	alapos
close	sûrû
close	bezár
close	becsuk
close	lezár
closed	zárt
closely	szorosan
closely	gondosan
closeness	zárkózottság
closet	fülke
closet	vécé
closing	befejezô
closing	záró
closure	bezárás
closure	zárlat
clot	rög
cloth	szövet
clothe	öltöztet
clothes	ruha
clothes	ruházat
clothing	öltözet
clothing	ruházat
clothing	öltözködés
cloud	felhô
cloud	beborul
cloudburst	felhôszakadás
cloudy	felhôs
cloudy	borús
cloudy	homályos
clout	rongy
clout	pofon
clove	szegfûszeg
clove	gerezd
clown	bohóc
clownish	bolondos
clownish	bohóckodó
club	bunkósbot
club	golfütô
club	klub
club	egyesület
club	üt (bottal)
club	egyesít
clue	nyom
clue	bûnjel
clump	rakás
clumsy	esetlen
clung	cling
cluster	nyaláb
cluster	fürt
cluster	csoportosul
clutter	összevisszaság
clutter	zûrzavar
coach	hintó
coach	kocsi
coach	autóbusz
coach	edzô
coach	felkészít
coal	szén
coalesce	összenô
coalesce	szövetkezik
coalition	szövetkezés
coalition	koalíció
coarse	durva
coast	part
coast	partvidék
coat	kabát
coat	bevonat
coating	bevonás
coating	kabátszövet
coax	csalogat
coax	rábeszél
cobble	macskakô
cobble	összefoltoz
cobbler	foltozóvarga
cobbler	kontár
cobweb	pókháló
cock	kakas
cockatoo	kakadu
cockchafer	cserebogár
cockney	londoni
cockpit	pilótafülke
cockroach	svábbogár
cocksure	magabiztos
cocktail	koktél
coco	kókuszpálma
cocoa	kakaó
coconut	kókuszdió
cod	tôkehal
coddle	elkényeztet
code	törvénykönyv
code	jelrendszer
code	kód
code kódol
codex	kódex
codger	pasas
coding	rejtjelezés
coding	kódolás
coefficient	együttható
coerce	kényszerít
coerce	korlátoz
coercion	kényszer
coercion	korlátozás
coeval	egykorú
coeval	kortárs
coexistence	együttélés
coffee	kávé
coffee-bean	kávébab
coffer	pénzszekrény
coffin	koporsó
coffin	koporsóba tesz
cog	fog (fogaskeréké)
cogent	hathatós
cogent	meggyôzô
cogitate	gondolkozik
cogitate	kigondol
cognate	rokon
cognition	megismerés
cognition	észlelés
coheir	örököstárs
cohere	összetapad
coherence	összefüggés
coherent	összefüggô
coherent	következetes
cohesive	összefüggô
coiffeur	frizura
coil	tekercs
coil	orsó
coil	felteker
coil	tekereg
coil	kígyózik
coin	érme
coincide	egybevág
coincide	egybeesik
coincidence	egybevágás
