a	et
flimsy	spinkel
flinch	vike tilbake
fling	hive
fling	slenge
fling, haul	kast
flint	flint
flip	knips
flip	knipse
flippant	fleipete
flippant	rappmunnet
flirt	flørte
flirtation	flørt
flit	pile
flit	smette
float	dupp
float	flottør
float, fleet	flåte
float, flow	flyte
flock	flokkes
flock	ulldott
flock, herd	flokk
floe	isflak
flog, lash, flogging	piske
flogging	pisking
flood	flom
flood, deluge	oversvømmelse
flood-tide	høyvann
floodlight	flomlys
floodlit	flombelyst
floor	golv
floor, storey, story	etasje
flop	deise
flop, failure	fiasko
flop, hit	slå
floppydisk, disc	diskett
florid	overlesset
florid	rødmusset
florist	blomsterhandler
floss	dun
flotation	stiftelse
flounced	med kapper
flounder	flyndre
flounder, flop	bakse
flourish	fanfare
flourish	florere
flourish	snirkel
flourish	trives
flourishing	blomstrende
flow, current, flush, high tide	strøm
flow, flood-tide	flo
flower	blomstre
flower, bloom	blomst
flowering	blomstring
fluctuate	svinge
fluctuate	variere
fluctuation	svingning
fluency	taleferdighet
fluent, liquid, fluid	flytende
fluff	lo
fluffy	dunbløt
fluid, liquid, liquor	væske
flunk	gi strykkarakter
fluorescent tube	lysrør
fluoridation	fluorisering
fluoride	fluor
flurried	forfjamset
flurry	kave
flurry, gust	vindstøt
flush	spyle
flustered	oppskjørtet
flute	fløyte
flutter	flagre
flutter	flagring
flutter	gjøre urolig 
flutter	vibrering
fly	buksesmekk
flyer, flier	flyger
foal	følle
foamy	skummende
focus	brennpunkt
focus	fokus
focus	fokusere
fodder, lining, forage	fôr
foetus	foster
fog, haze	dis
fog, mist	skodde
fog, mist	tåke
foggy	diset
foggy	tåket
foggy, dim	uklar
foil	florett
foil	folie
foil, baffle, frustrate	forpurre
fold	brette
fold	fold
fold	folde
fold up	legge sammen
folder	falsemaskin
folder	folder
folder	mappe
folding chair	klappstol
foliage	løvverk
folk	mennesker
folk, people	folk
follow	etterfølge
follow up	oppfølging
follower	tilhenger
following	følgende
folly	dårskap
food	mat
fool	bedra
fool	tøyse
foolproof	idiotsikker
football, soccer	fotball
footing, foothold	fotfeste
footpath	gangsti
footprint	fotspor
footstep	fottrinn
for	for
for instance	for eksempel
for, off	av
forbear	unnlate
forbearance, indulgence	overbærenhet
forbid	forby
forbidding	avskrekkende
forbidding	frastøtende
force	forsere
force	makt
force	sprenge
force	tvinge
force, energy, juice	kraft
forced, enforced	påtvungen
forcible	tvangs-
forcible, hearty, ablebodied	kraftig
ford	vade over
ford	vadested
fore	for-
forearm	underarm
forebode	varsle
forecast	forutsi
forecast	forutsigelse
forecastle	ruff
forefront	forreste linje
foreground	forgrunn
forehead	panne
foreignworker	fremmedarbeider
foremost	fremst
foremost, fore, forward	forrest
foresee, anticipate	forutse
forestation	skogplantning
forester	forstmann
forestmanagement	skogforvaltning
forestry	skogindustri
forestry	skogvesen
forfeit	forbrutt
forfeit	forspille
forfeit	forspilt
forfeit, gage	pant
forget	glemme
forgetful	glemsom
forgive	tilgi
forgiveness	tilgivelse
fork	dele seg
fork	gaffel
fork	greip
fork	veiskille
form	danne
form	form
form	forme
form	skjema
form	skoleklasse
formal	formell
formality	formalitet
format	formatere
formation	danning
formation	formasjon
formative	grunnleggende
former, late, ex	forhenværende
formic	maur-
formicide	maurmiddel
formidable	fryktinngytende
formula	formel
formula	oppskrift
formulate	formulere
forsake	oppgi
forth	fram
forthcoming	forekommende
forthright	liketil
forthright	åpenhjertlig
fortieth	førtiende
fortify	befeste
fortitude	sjelsstyrke
fortnight	fjorten dager
fortress	festning
fortunately, luckily	heldigvis
fortune	formue
fortuneteller	spåkone
fortuneteller	spåmann
forty	førti
forward	fremmelig
forward	fremover
forward	videresende
forwarding	foresendelse
forwarding agent	speditør
foster	fostre
foster	ha i pleie
foul	vulgær
foul, dishonest	uærlig
found	grunnlegge
found	støpe
foundation	fundament
foundation	grunnleggelse
foundation	grunnmur
foundation, endowment	legat
foundry	støperi
fountain	fontène
fountain pen	fyllepenn
fourfold	firedobbelt
fourteen	fjorten
fourth	fjærde
fox	rev
fraction	brøkdel
fractional	brøk-
fractional, insignificant	ubetydelig
fractured	brukket
fragile, frail	skrøpelig
fragment	bruddstykke
fragrance	duft
fragrance	vellukt
fragrant	duftende
fragrant	velluktende
frailty	svakhet
frame	innramme
frame	karm
frame, fabric	struktur
frame, hit	ramme
framework	rammeverk
France	Frankrike
franchise	rettighet
franchise	stemmerett
frankly	åpent
frantic	panisk
fraternal	broderlig
fraternity	brorskap
fraud	svindler
fraud, con	svindel
fraudulent, deceitful	svikefull
fraudulent, false	falsk
fraught, intent	anspent
frayed	frynsete
freak	original
freakish	uvanlig
freckle	fregne
free	befri
free	utvungen
freemason	frimurer
freeway	motorvei
freeze	fryse
freeze	stivne
freezer	fryser
freight	frakte
freighter	lastebåt
frenzy	vanvidd
frenzy, fury	raseri
frequency	frekvens
frequency, incidence	hyppighet
frequent	frekventere
frequent	hyppig
fresh	fersk
freshen	friske på
freshen up	stelle seg
freshness	friskhet
freshwater	ferskvann
fret	slite på
fret, chafe, irritate, gall, exasperate	irritere
fret, exasperate	ergre
friar	tiggermunk
friction	friksjon
friction	gnidning
Friday	fredag
fridge	kjøleskap
friend	venninne
friend, friend	venn
friendly	vennskapelig
friendship	vennskap
frieze	frise
frieze	vadmel
fringe	frynse
fringe	pannelugg
fringe	utkant
fringe benefits	frynsegoder
frisky	leken
frisky	spretten
frivolity	fjollethet
frivolity	lettsindighet
frivolous	betydningsløs
frivolous	fjollete
frock, robe, dress	kjole
frog	frosk
frogfish	breiflabb
frogman	froskemann
frolic	boltre seg
frolic	munterhet
from	på grunnlag av
from	ut fra
front	fasade
front	front
front door	inngangsdør
front, frontpage, battlefront, frontage	forside
frontwing	forskjerm
frost	frost
frost	rim
frostbitten	frostskadet
frosted	dekket av rim
frosted	mattslipt
frosty	is-
frosty, bleak, cold, chilly	kald
froth	fråde
froth, foam, lather	skum
froth, lather, foam, fizz	skumme
frown	rynke
frown on	misbillige
frozen	frosset
frozen	sperret
frozen	tilfrosset
frugal	nøysom
frugal	sparsommelig
fruit	frukt
fruitless	nytteløs
frustrate	frustrere
frustration	forpurring
fry	yngel
frying pan	stekepanne
fuel	brensel
fuel	drivstoff
fuel gauge	bensinmåler
fugitive	flyktende
fugitive	flyktig
fugitive, displaced person	flyktning
fulfil	innfri
fulfil	oppfylle
fulfilment	oppfullelse
full	utførlig
full, entirely	fullstendig
fullness	fylde
fully	fullt ut
fumble	rote
fumble, grope	famle
fume	damp
fume	dunste
fume	rase
fume	ryke
fun	fornøyelse
function	fungere
function	funksjon
function	oppgave
functional	funksjonell
functional	funksjons-
fund	fond
fund	kapital
fundamental	fundamental
fungicide	soppdreper
funnel	skorstein
funnel	trakt
funny, jolly, humorous	morsom
fur	tungebelegg
fur piece, fur, fur coat	pels
furcoat	pelskåpe
furlined	skinnforet
furnace, oven, stove, kiln	ovn
furrier	buntmaker
furrow	lage furer i
furrow, groove	fure
furs	pelsverk
further	lenger
further	mer
further	ytterligere
furthermore	dessuten
furtive	hemmelig
furtive	hemmelighetsfull
fury	furie
fuse	lunte
fuse	sikring
fuse box	sikringsskap
fusible	lettsmeltelig
fusion	fusjon
fusion	sammensmelting
fuss	mase
fuss	oppstyr
fussy	masete
futile	forgjeves
futile	intetsigende
futility	formålsløshet
future	fremtid
future	fremtidig
fuzzy	flokete
fuzzy	krusete
gable	gavl
gad about	farte omkring
gadfly	brems
gadfly, horsefly	klegg
gadget, contrivance, device	innretning
gadget, cope, accomplish	greie
gag	knebel
gag	kneble
gag	vits
gaiety	lystighet
gain	vinning
gain, benefit, profit	gagn
gain, earn	tjene
gait	gangart
gaiter	gamasje
gale	kuling
gall	bitterhet
gall	galle
gall	gnagsår
galled	hudløs
gallery	galleri
gallery	stoll
galley	bysse
gallop	galopp
gallop	galoppere
gallows	galge
gallstone	gallestein
galore	i massevis
galosh	kalosje
gamble, act	spille
gambler	spiller
game, gamble	spill
gamekeeper	skogvokter
gamelicence	jaktlisens
gander	gasse
gang	arbeidslag
gang	bande
gang	gjeng
gangrene	koldbrann
gangrenous	angrepet av koldbrann
gangway	fallrep
gangway, debarkation	landgang
gaol, jail, prison, gaol	fengsel
gap, aperture	åpning
gap, hole	hull
gape	gape
gape	måpe
garage	bilverksted
garage	garasje
garage, fillingstation	bensinstasjon
garbage	avfall
garbage, litter	søppel
garden	hage
garden	have
gardener	gartner
gardening	hagearbeid
gardening, horticulture	hagebruk
gargle	gurglevann
garland	bekranse
garland	krans
garlic	hvitløk
garment	plagg
garnet	granat
garnish	garnere
garnish	garnering
garnish	pynte
garret	kvisteværelse
garrison	garnison
garrulous	snakkesalig
garter	sokkeholder
garter	strømpebånd
gas	gass
gash	flenge
gash	gapende sår
gasket	pakning
gasoline, gasolene, petrol	bensin
gasp	gispe
gastric	mage-
gastrulcer	magesår
gate	grind
gate	port
gather	plukke
gathering	sammenkomst
gaudy, glaring	grell
gauge	måler
gauge	sporvidde
gaunt	radmager
gauntlet	kjørehanske
gauntlet	stridshanske
gauze	gasbind
gay	homoseksuell
gaze, goggle	stirre
gazette	lysingsblad
gear	gir
gear, appliance, implement	redskap
gear-case, gear-box	girkasse
gearlever	girstang
gelding	vallak
gem	edelsten
gender, sex	kjønn
geneologist	slektsforsker
geneology	slektsforskning
geneology	slektshistorie
general	general
general	generell
generally	vanligvis
generate	frembringe
generation	generasjon
generation	slektsledd
generosity	gavmildhet
generosity	høysinn
generous	rundhåndet
genial, friendly, kind	vennlig
genitals	kjønnsorganer
genius	geni
genius	skytsånd
gentle, soft, sweet, tender	søt
gentry	fornemme folk
gentry	lavadelen
geographer	geograf
geography	geografi
geologist	geolog
geology	geologi
germ	bakterie
germ	spire
germcarrier	smittebærer
germicide	bakteriedreper
gesture	gestikulere
gesture	gestus
get	bli
get, fetch	hente
get, have, few	få
ghastly	grufull
ghastly	likblek
gherkin	sylteagurk
ghost	spøkelse
ghost	ånd
giant	rise
gibberish	uforståelig snakk
gibberish	vrøvl
gibe	spott
giddy	ør
giddy, dizzy	svimmel
gift	anlegg
gift, endowment, present, donation	gave
gifted	begavet
gigantic	gigantisk
gigantic, giant	kjempemessig
giggle	fnise
gild	forgylle
gill	gjelle
gilt	forgylling
gilt	forgylt
gimmick, knack	knep
gin	aquavit
ginger	ingefær
ginger	rødbrun
gingerale	ingefærøl
gingerbread	honningkake
girder	bærebjelke
girdle	belte
girdle	hofteholder
girdle	omgi
girl	jente
girl	pike
girlish	jenteaktig
gist	hovedinnhold
give, allow, yield, inflict, hand, bestow	gi
glacier	isbre
glade	lysning
gladly	gjerne
gladly	med glede
gladness, zest, joy, enjoyment, gratify, delight	glede
glamour, enchantment	fortryllelse
glamourous	fortryllende
gland	kjertel
glare	skarpt lys
glare at	glo olmt på
glare, dazzle	blende
glaring	blendende
glass	glass
glasses, spectacles	briller
glazed	glassaktig
glazier	glassmester
glazing	glassarbeid
gleam	glimte
gleam, glare	skinne
glee	fryd
glen	fjelldal
glen	skar
glib	tungerapp
glide	gli
glide	glidning
glider	glider
glimpse	skimte
glisten	glinse
glisten, glint, glitter	glitre
glitter	funkle
glitter	glitring
globe	globus
gloom	halvmørke
gloom	tungsinn
gloomy, glum	dyster
glorification	forherligelse
glorify	forherlige
glorious, illustrious	strålende
glory	salighet
glory, glamour, gloss, lustre	glans
glossary	ordliste
glossy	blank
glove, mitten	hanske
glue	lim
glutton	fråtser
glutton	jerv
gluttonous, greedy	grådig
gluttony	forslukenhet
gnarled	knudrete
gnat, mosquito	mygg
gnaw	nage
gnaw, chafe, gall, fret	gnage
gnome, dwarf	dverg
go	gå
go for a walk, stroll	spasere
goad	piggstav
goalkeeper	målvakt
goat	geit
goatee	fippskjegg
gobble, gulp, devour	sluke
goblet	beger
goblet	pokal
God	Gud
godchild	gudbarn
goddess	gudinne
godfather	gudfar
godlike, divine	guddommelig
godly, devout	from
goggles	beskyttelsesbriller
gold	gull
golden	gylden
golf	golf
golfclub	golfklubb
golfclub	golfkølle
golfcourse	golfbane
golfer	golfspiller
gong	gongong
good	behage
good afternoon	god middag
good day	goddag
Good Friday	langfredag
good morning	god morgen
good night	god natt
good, able, capable, clever	dyktig
good, clever	flink
good, kind	snill
good-natured	godmodig
goodbye, so long, bye	på gjensyn
goodness	godhet
goods	varer
goodwill	kundekrets
goodwill, benevolence, favour	velvilje
goof	fjols
goof	tabbe
goose	gås
gooseberry	stikkelsbær
gooseflesh	gåsehud
gorge	fråtse
gorge, gulch	fjellkløft
gorgeous	praktfull
gory	blodig
gospel	evangelium
gossip	sladder
gossip	sladre
gout	gikt
gouty	giktisk
govern	regjere
governess	guvernante
government, government	regjering
governor	guvernør
gown	lang kjole
gown, cape	kappe
grab	snappe
grace	bordbønn
grace	hedre
grace	ynde
grace, adorn	pryde
graceful	grasiøs
gracious	elskverdig
gracious	nådig
gradation	nyanse
grade	gradere
grade	karakter
grade	trinn
grade, class	klasse
gradient	stigningsgrad
gradual	gradvis
graduate	kandidat
graft	pode
graft	podning
grain	korn
grain	korne seg
grain	tekstur
grammar	grammatikk
grand-father	bestefar
grand-mother	bestemor
grandchild	barnebarn
grandstand	sitte-tribune
grange	bondegård
grant	bevilge
grant	bevilgning
granulated	kornete
grape	drue
grapefruit	grapefrukt
graph	diagram
graph paper	rutepapir
graphic	grafisk
grasp, hold, grip	grep
grass	gress
grasshopper	gresshoppe
grasswidow	gressenke
grasswidower	gressenkemann
grate	raspe
grate	rive
grate	skurre
grateful	takknemlig
grater	rivjern
gratification	tilfredstillelse
gratify	tilfredstille
gratitude	takknemlighet
gratuitous, free	gratis
grave	betydningsfull
grave, tomb	grav
gravelled	gruslagt
graveyard, cemetery	kirkegård
gravitation	tyngdekraft
gravity	alvor
gravity	tyngde
gravy	kjøttsaft
graze	beite
graze	få skrubbsår
grease, fat	fett
greasy	fettete
greatly, highly	i høy grad
greatness	storhet
greed	grådighet
green	grønn
green	grøntareale
greenhouse	drivhus
greet	hilse
greeting	hilsen
gregarious	selskapelig
grey, gray	grå
greyhound	mynde
gridiron	grillrist
grief, sorrow, sadness	sorg
grievance	klagemål
grieve	sørge
grieve	volde sorg
grievous, earnest, grave	alvorlig
grill	grille
grill, grate	rist
grim	bister
grime	sot
grimy	sotete
grimy, unclean, foul, grubby, filthy, soiled	skitten
grin	glise
grin	smile bredt
grind	male
grind	maling
grind	slipe
grinder	jeksel
grindstone	slipestein
gripping, compelling	fengslende
grisly, lurid, ghastly, grim	uhyggelig
gristle	brusk
grit	sandkorn
grit	strø
grit, gravel	grus
gritty	sandete
grizzly	grålig
grizzly	gråsprengt
groan	knake
groan	stønn
groan	stønne
groceries	dagligvarer
grog	brennevin og vann
grog	grogg
groggy	omtåket
groin	lyske
groom	stallkar
groove	spor
grope	føle seg fram
gross	brutto
gross	gross
gross	plump
gross, bold, thick, fat, corpulent	tykk
ground	bunn
ground	grunnstøte
ground	terreng
ground	årsak
groundfloor	første etasje
group	gruppere
grouse	rype
grove	lund
grove	skogholt
grovel	krype for
grow	vokse
growl	knurre
growl	knurring
growler	brumlebasse
grub, dig	grave
grudge, envy	misunne
gruel	velling
gruesome	gyselig
gruff, coarse, gross	grov
grumble	beklage seg
grumble	rumle
grumpy, fretful, grouchy, querulous	gretten
grunt	grynt
grunt	grynte
guarantee	garanti
guarantee	kausjonist
guarantee, bail	kausjon
guard	bevoktning
guard	garde
guard	konduktør
guard	vakt
guard	vokte
guardian	beskytter
guardian	formynder
guess	gjetning
guess	gjette
guest	gjest
guidance	veiledning
guild	laug
guile	list
guile	svik
guise, disguise	forkledning
guitar	gitar
gulf	havbukt
gulf, abyss	avgrunn
gullet	spiserør
gullible	lettroende
gully	renne
gully, gap	kløft
gulp	jafs
gulp, gorge	svelge
gum	gom
gum	gummiere
gum	tannkjøtt
gun	børse
gun	kanon
gunbarrel	geværløp
gunpowder	krutt
gunstock	geværkolbe
gunwale	reling
gurgle	klukke
gurgle, gargle	gurgle
gush, eruption	utbrudd
gut	sløye
gut	vom
gut, harsh	streng
gut, intenstine	tarm
gutter	rennestein
gutter	takrenne
guy	bardun
gymnasium	gymnastikksal
gymnast	gymnast
gymnast	turner
gymnastics, gymastics	gymnastikk
gynaecological	gynekologisk
gynaecologist	gynekolog
gypsum	gips
gypsy, gipsy	sigøyner
haberdashery	garn- og trådhandel
habit	drakt
habit	vane
habitability	beboelighet
habitat	voksested
habitation, dwelling, housing	bolig
habitual	sedvanlig
hacker	datasnok
hackneyed	forslitt
hackneyed, corny	banal
haddock	hyse
haddock	kolje
haemorrhage	blødning
haemorrhoids	hemmorider
haemostatic	blodstillende middel
hag	heks
hag	hurpe
haggard	uttært
haggle	prute
hail	hagl
hail	praie
hair	hår
hairdresser, barber	frisør
hairpiece	parykk
hairpiece	tupè
hairpin	hårnål
hairy	hårete
hairy	lodden
half	halv
half	halvdel
halibut	hellefisk
halibut	kveite
hall	entrè
hall	hall
hall	herregård
hallow	hellige
Halloween	Allehelgensaften
halt	stopp
halt	stoppe
ham	skinke
hammer	hammer
hammer	hamre
hammer	slegge
hammock	hengekøye
hamper	stor kurv
hamper, inhibit	hemme
hand	hånd
hand	rekke
handbook	håndbok
handbreak	håndbremse
handcuffs	håndjern
handicap	handikap
handicraft	håndverk
handkerchief	lommetørkle
handle	behandle
handle	hank
handle	håndtak
handle	håndtere
handle bars	sykkelstyre
handle bars, steering-wheel, rudder	ratt
handmade	håndlaget
handrail, banister	gelender
handwriting	håndskrift
handy	bekvem
handy, dexterous	fingernem
handy, practical	praktisk
handyman	altmuligmann
hang	henge
hanger	henger
hanging	hengning
hanging	opphengning
hangover	bakrus
hank	bunt
hanker	ha god lyst på
haphazardly	på måfå
happen	hende
happen, spoon	skje
happily	lykkelig
happilyness, happiness, fortune, felicity, luck	lykke
happy, glad, joyful	glad
harass, infest, harassment	plage
harassment	press
harbour	gi ly
harden	gjøre hard
harden	herde
hardly	neppe
hardly	nesten ikke
hardness	hardhet
hardship	motgang
hardware	jernvarer
hardware	maskinvare
hardy	hardfør
hare	hare
harebrained	tankeløs
harelip	hareskår
harlot	hore
harlot	skjøge
harm	ugang
harmless	uskadelig
harmless, inoffensive	harmløs
harmonious	harmonisk
harness	seletøy
harp	harpe
harp on	gnåle om
harp on	terpe på
harpsichord	cembalo
harrow	harv
harrow	harve
harsh	besk
hartshorn	hjortetakk
harvest	høste
harvest	innhøstning
harvest, crop	avling
hash	hakkemat
hash	hasj
hash	skjære i stykker
haste, hurry	hastverk
hasten	skynde på
hasten	skynde seg
hasty	forhastet
hasty	hissig
hat	hatt
hatch	klekke ut
hatch	ruge ut
hatch	skravere
hatchet	stridsøks
hate	hate
hatred, hate, animosity	hat
hatter	hattemaker
haughty	overlegen
haughty, arrogant	hovmodig
haul, catch	fangst
haul, drag	dra
haul, freight	frakt
haul, tail, lug	hale
haulage	transport
haunches	bakdel
haunches	ende
haunt	besøke ofte
haunt, habitat	tilholdssted
haunted	forpint
haunted	hjemsøkt
have	ha
have a fling	slå seg løs
have to	måtte
hawk	hauk
hawk	kremt
hawk, hem	kremte
hawker	gateselger
hawthorn	hagtorn
hayfever	høysnue
hazardous	risikabel
hazelnut	hasselnøtt
hazy	disig
he who	den som
head	lede
headache	hodepine
headlight	frontlys
headline, caption	overskrift
headmaster	rektor
headquarters	hovedkvarter
headstone	gravstein
headstrong	sta
headstrong	stri
headwind	motvind
headword	oppslagsord
heal	helbrede
heal up	gro
health	helse
health	sunnhet
healthfood	helsekost
heaped	toppet
heaps	massevis
hear	få vite
hear, listen	høre
hearing	hørevidde
hearing	høring
hearing	hørsel
hearing aid	høreapparat
hearse	likvogn
heart	hjerte
heartattack	hjerteanfall
heartburn	halsbrann
hearten, foster, encourage, lighten	oppmuntre
heartening	oppmuntrende
hearth	arne
hearth	peis
heartiness	hjertelighet
heartless	hjerteløs
heartrending	hjerteskjærende
hearts	hjerter
hearty, heartily	hjertelig
heat	heftighet
heat	hete
heat	løpetid
heat	pulje
heat	varme opp
heater	varmeapparat
heath	mo
heathen	hedensk
heathen, hedonist	hedning
heather	lyng
heating	oppvarming
heave	hale og dra
heave	lempe
heave to	legge bi
heave, displace	forskyve
heavenly	himmelsk
heavily	tungt
heck	pokker
heckle	hekle
heckle, discontinue, interrupt, disconnect	avbryte
heckler	møteplager
hectic	hektisk
hedge	innhegne
hedge, hedgerow	hekk
hedgehog	pinnsvin
hedonism	hedonisme
heed	ense
heel	sette hæl på
heel over	få slagside
heel, heel	hæl
heifer	kvige
height, highlight	høydepunkt
heir, heiress	arving
heirloom	arvestykke
hell	helvete
helmet	hjelm
help	hjelp
helpful	hjelpsom
helpful	nyttig
helping	prsjon
helpless	hjelpeløs
hem	fald
hem	falde
hem	søm
hem in	omringe
hemisphere	halvkule
hemp	hamp
hence, therefore	derfor
her	henne
herb	urt
herbaceous	urteaktig
herbal	urte-
herbicide	ugressmiddel
herbivorous	planteetende
herd	gjete
herdsman	gjeter
here	her
here by	herved
hereditary	arvelig
heredity	arvelighet
heresy	kjetteri
heretic	kjetter
heretical	kjettersk
heritage, inheritance	arv
hermit	eremitt
hernia	brokk
hero, quite, entirely	helt
heroes	helter
heroic	heroisk
heroine	heltinne
heroism	heltemot
heron	hegre
herring	sild
hers, her	hennes
herself	henne selv
hesitation	nøling
hibernate	gå i hi
hibernation	vinterdvale
hiccup	hikke
hide	gjemme
hide	skjule
hide and seek	gjemsel
hide, skin	hud
hideous, frightful	skrekkelig
hideous, ugly, nasty	heslig
hideout	gjemmested
hiding, flogging	pryl
hiding, indemnity	dekning
hidingplace	skjulested
highbrow	åndssnobb
highly	høyt
highminded, generous	høysinnet
highness	høyhet
highroad	landevei
highschool, grammarschool	videregående skole
highway	hovedvei
hijack	kapre
hijacker	kaprer
hike	fottur
hiker	turgåer
hikside, hillside	åsside
hill	bakke
hill	ås
hillside, hikside	li
him	ham
him, he	han
himself	han selv
hind	bak-
hind	hind
hinder, foil	forhindre
hindrance, hitch, encumbrance	hindring
hindsight	etterpåklokskap
hinge	hengsel
hinny	mulesel
hint	antydning
hint	ymte
hip	nype
hip, haunch	hofte
hip-pocket	baklomme
hipflask, flask	lommelerke
hipjoint	hofteledd
hippopotamus	flodhest
hipsocket	hofteskål
hirepurchase	avbetaling
his	hans
hiss	visle
hiss	vislelyd
historian	historiker
historic	historisk
history	historie
hit	fulltreffer
hit	suksess
hit	treffe
hit, beat	slag
hitch, jab	stikk
hitch, trouble, difficulty	vanskelighet
hitchhike	haike
hitherto, so far	hittil
hive, beehive	bikube
hives	elveblest
hoard	forråd
hoard	hamstre
hoarding	hamstring
hoarfrost	rimfrost
hoary	gråhåret
hoax	puss
hobgoblin	nisse
hobnob with	menge seg med
hog, pig	gris
hog, pig	svin
hogtie	binde på hender og føtter
hoist	heise
hold	holde
hold	inneholde
holder	holder
holder	innehaver
holding	gårdsbruk
holiday	fridag
holiday	helligdag
holiness	hellighet
holland	Holland
holland, Dutchland	Nederland
hollow	fordypning
hollow	hul
hollow	hulning
hollow	innfallen
holly	kristtorn
holster	hylster
holy	hellig
homage	hyllest
home	hjem
homeless	hjemløs
homely	enkel
homely, foul, nasty, ugly	stygg
homesickness	hjemlengsel
homewards	hjemover
homicide	mord
honest, frankly, candid	ærlig
honesty	ærlighet
honesty, fairness	redelighet
honey	honning
honeymoon	bryllupsreise
honeysuckle	kaprifolium
honk	tut
honorary	heders-
honorary	æres-
honour	heder
honour, glory	ære
honourable	hederlig
honourable	ærede
hood	hette
hood	kalesje
hoof	hov
hook	knagg
hook	krok
hook, chin	hake
hooked	hektet
hooked	kroket
hooked	krum
hooligan	bølle
hooligan	ramp
hoop	bøyle
hoop	tønnebånd
hoot	tuting
hoot	uling
hoot, honk	tute
hoot, howl	ule
hooter	bilhorn
hoover	støvsuge
hoover	støvsuger
hop, bumblebee	humle
hope	håp
hope	håpe
hopefully	forhåpentligvis
hopefully	håpefullt
horizon	horisont
horn	horn
hornet	geitehams
horny	hornaktig
horny	kåt
horrid	redselsfull
horrid, abhorrent	vemmelig
horrify	sjokkere
horrify, dismay	forferde
horrifying	forferdelig
horrifying	gruoppvekkende
horror	redsel
horse	hest
hose, stocking	strømpe
hose, tube	slange
hosiery	strikkevarer
hosiery	trikotasje
hospitable	gjestfri
hospital	hospital
hospital, infirmary	sykehus
hospitality	gjestfrihet
hospitalize	legge inn på sykehus
hostage	gissel
hostel	herberge
hostility	fiendtlighet
hostility, enmity, animosity	fiendskap
hot	het
hot	sterkt krydret
hot, warm	varm
hotel	hotell
hound	jakthund
hourly	hver time
housefly, fly	flue
household	husstand
housekeeper	husholderske
houses, house, home	hus
hovel	skur
hover, float	sveve
hovercraft	luftputefartøy
however	imidlertid
however, how	hvordan
hub	nav
hubbub	ståhei
hubbub, interference	støy
hubcap	hjulkapsel
huckster	høker
hue	anstrøk
hue, dye, colour	farge
huffy	fornermet
huffy	snurt
hug	klem
huge	kjempestor
huge, jolly	veldig
hull	belg
hull	skrog
hull, fan	rense
hull, skull	skalle
hum	nynne
hum	summe
human	mennesklig
humanity	menneskehet
humanity	mennesklighet
humble	beskjeden
humble	ydmyk
humble, humiliate	ydmyke
humbug	bløffe
humbug	bløffmaker
humbug, foul play, imposition	lureri
humidifier	luftfukter
humidity	fuktighet
humiliation	ydmykelse
humility	ydmykhet
hummingbird	kollibri
humorous	humoristisk
humour	humor
hump	kul
hunch, hump	pukkel
hunchbacked	pukkelrygget
hunger	sult
hungry	sulten
hunt	jakte
hunting, hunt	jakt
hurdle	forhindring
hurdle, impediment	hinder
hurl	slynge
hurl, throw	kaste
hurricane	orkan
hurried	oppjaget
hurry	haste
hurry, urgency	hast
hurt	sår
hurt, bruise, harm, injury, injure, detriment	skade
hurt, insult	såre
husband	ektemann
hushed	lavmælt
husk	skall
husk	skrelle
husky	rusten
husky, hoarse	hes
hustle	dytte
hustle	trekke på gaten
hustle, jam	trengsel
hutch, cage	bur
hydrangea	hortensia
hyena	hyene
hygiene	hygiene
hygienic	hygienisk
hymn	salme
hymn, anthem	hymne
hype	skudd
hype	sprøytenarkoman
hyphen	bindestrek
hypnosos	hypnose
hypnotic	søvndyssende middel
hypnotist	hypnotisør
hypnotize	hypnotisere
hypocrisy	hykleri
hypocrisy	skinnhellighet
hypocrite	hykler
hypodermic	underhuds-
hypothesis	hypotese
hysteric	hysterisk person
hysterical	hysterisk
hysterics	hysterisk anfall
i	jeg
ice	is
ice	ise
ice, glaze, enamel	glasere
iceberg	isfjell
icebreaker	isbryter
icecream	iskrem
iced	avkjølt
iced	med glasur
icicle	istapp
icing	isdannelse
icing sugar	melis
icy	isete
icy	iskald
idea	ide
idea	tanke
ideal	forbilde
ideal	ideell
idealism	idealisme
idealize	idealisere
identical	identisk
identification	identifikasjon
identify	identifisere
identity	identitet
identity card	identitetskort
idiom	idiom
idiom	språkeiendommelighet
idiot	idiot
idle, loaf	drive dank
idleness	lediggang
idleness, laziness	dovenskap
idling	tomgangskjøring
idol	avgud
idolize	forgude
idyll	hyrdedikt
idyll	idyll
if	hvis
ignitable, inflammable	antennelig
ignition, firing	tenning
ignoble	gemen
ignoble	ussel
ignominious	forsmedelig
ignominious, dishonourable	vanærende
ignorance	uvitenhet
ignorant	uvitende
ignore	ignorere
ignore	overse
ill, sick, diseased	syk
illegible	uleselig
illegitimate, illegal, illicit	ulovlig
illiteracy	analfabetisme
illiterate	analfabet
illuminated, enlightened	opplyst
illumination, information	opplysning
illumination, light, illustration	belysning
illusive, delusive, illusory	illusorisk
illustrate	belyse
illustrate	illustrere
illustrated	illustrert
illustration	illustrasjon
illustrious	fremtredende
image	ansikt utad
image, picture	bilde
imaginable, conceivable	tenkelig
imaginary	innbilt
imagination, fancy	fantasi
imagination, fancy	innbilning
